价格,销售量,销售额
0-50,479.2866667,21201.62074
50-100,19105.44,1570467.98
100-150,26394.37667,3269195.917
150-200,17185.74,2952387.791
200-250,8887.66,1980068.793
250-300,5111.29,1392239.128
300-350,2423.43,791811.845
350-400,1331.966667,493422.3361
400-450,586.3933333,247787.7992
450-500,266.9533333,127052.7574
500-550,74.54333333,39240.3643
550-600,68.24333333,38655.71064
600+,110.3566667,83657.50807

