,feature,label
261,G_29_0,0.0
262,G_29_1,0.0
263,G_29_2,2.0
264,G_29_3,1.0
265,G_29_4,0.0
266,G_29_5,2.0
267,G_29_6,0.0
268,G_29_7,1.0
269,G_29_8,-0.0
270,G_30_0,0.0
271,G_30_1,0.0
272,G_30_2,2.0
273,G_30_3,2.0
274,G_30_4,0.0
275,G_30_5,2.0
276,G_30_6,0.0
277,G_30_7,1.0
278,G_30_8,0.0
279,G_31_0,0.0
280,G_31_1,0.0
281,G_31_2,2.0
282,G_31_3,1.0
283,G_31_4,0.0
284,G_31_5,2.0
285,G_31_6,0.0
286,G_31_7,1.0
287,G_31_8,0.0
288,G_32_0,-0.0
289,G_32_1,-0.0
290,G_32_2,2.0
291,G_32_3,-0.0
292,G_32_4,0.0
293,G_32_5,2.0
294,G_32_6,0.0
295,G_32_7,1.0
296,G_32_8,0.0
297,G_33_0,-0.0
298,G_33_1,-0.0
299,G_33_2,2.0
300,G_33_3,1.0
301,G_33_4,0.0
302,G_33_5,2.0
303,G_33_6,0.0
304,G_33_7,1.0
305,G_33_8,0.0
306,G_34_0,0.0
307,G_34_1,0.0
308,G_34_2,2.0
309,G_34_3,2.0
310,G_34_4,0.0
311,G_34_5,2.0
312,G_34_6,0.0
313,G_34_7,1.0
314,G_34_8,0.0
315,G_35_0,0.0
316,G_35_1,0.0
317,G_35_2,2.0
318,G_35_3,1.0
319,G_35_4,0.0
320,G_35_5,2.0
321,G_35_6,0.0
322,G_35_7,1.0
323,G_35_8,0.0
324,G_36_0,0.0
325,G_36_1,0.0
326,G_36_2,1.0
327,G_36_3,1.0
328,G_36_4,0.0
329,G_36_5,2.0
330,G_36_6,0.0
331,G_36_7,1.0
332,G_36_8,0.0
333,G_37_0,0.0
334,G_37_1,0.0
335,G_37_2,1.0
336,G_37_3,0.0
337,G_37_4,0.0
338,G_37_5,2.0
339,G_37_6,0.0
340,G_37_7,1.0
341,G_37_8,-0.0
342,G_38_0,0.0
343,G_38_1,0.0
344,G_38_2,1.0
345,G_38_3,0.0
346,G_38_4,0.0
347,G_38_5,3.0
348,G_38_6,0.0
349,G_38_7,1.0
350,G_38_8,0.0
351,G_39_0,-0.0
352,G_39_1,-0.0
353,G_39_2,1.0
354,G_39_3,-0.0
