1,2,3,4,5,6,7,8,9,10,11
355,225,330,241,307,355,198,427,222,257,278
454,192,346,250,301,376,131,438,164,296,353
123,139,251,89,189,278,106,80,105,170,287
157,147,237,102,181,256,124,147,104,183,280
180.147,97.4355,197,181,30,124,152,251.015,118,164,204
180.147,97.4355,191,128.351,137.62,159.633,164,251.015,132,156,206
114,137,247,69,192,268,76,84,107,200,290
152,143,240,74,177,263,115,167,104,161,277
123,139,251,89,189,278,106,80,105,170,287
157,147,237,102,181,256,124,147,104,183,280
180.147,97.4355,197,181,30,124,152,251.015,118,164,204
130,94,187,125,135,138,141,149,86,122,183
128,92,183,123,134,133,91,151,85,117,182
130,94,187,125,135,138,141,149,86,122,183
128,92,183,123,134,133,115,151,85,117,182
130,94,187,125,135,138,101,149,86,122,183
128,92,183,123,134,133,128,151,85,117,182
130,94,187,125,135,138,101,149,86,122,183
128,92,183,123,134,133,116,151,85,117,182
130,94,187,125,135,138,141,149,86,122,183
128,92,183,123,134,133,138,151,85,117,182
130,94,187,125,135,138,141,149,86,122,183
257,137,246,148,200,243,182,312,107,177,155
277,138,251,145,188,282,170,303,105,177,255
310,143,267,160,191,279,144,343,117,177,270
268,104,204,119,183,237,130,260,84,150,224
324,152,273,169,214,289,193,292,131,188,288
312,144,194,157,206,230,84,283,128,187,131
242,102,183,113,132,228,103,256,81,130,186
253,110,217,137,156,234,170,188,86,147,237
350,148,280,170,217,316,245,403,131,194,403
251,111,218,135,154,234,110,206,86,146,184
343,149,278,173,214,314,244,386,135,200,268
269,106,197,119,181,237,129,255,83,147,217
323,142,235,159,204,287,60,132,120,183,173
254,145,269,162,201,304,168,315,118,175,264
331,125,256,160,193,297,120,252,93,175,228
325,142,263,158,204,285,89,277,119,178,151
287,116,219,131,177,258,68,182,92,150,209
329,145,276,159,220,290,133,348,127,184,229
240,104,192,111,135,230,86,259,82,128,177
321,119,259,149,190,276,213,360,101,170,290
316,121,254,151,197,279,211,293,99,170,224
281,115,235,140,185,257,76,253,89,154,218
338,153,272,169,213,305,232,373,134,190,346
324,152,273,169,214,289,230,335,131,188,333
272,115,234,140,183,258,186,259,88,155,229
321,119,259,149,190,276,213,360,101,170,290
316,121,254,151,197,279,211,326,99,170,250
297,127,262,150,195,281,162,303,116,169,232
320,126,263,148,195,278,89,283,116,170,151
297,127,262,150,195,281,162,303,116,169,232
328,141,252,155,192,286,184,337,115,173,313
320,126,263,148,195,278,89,283,116,170,151
338,153,272,169,213,305,232,373,134,190,346
288,142,235,156,193,281,49,132,116,174,127
268,104,204,119,183,237,130,260,84,150,224
189,82,133,90,102,161,103,202,70,88,173
268,104,204,119,183,237,130,260,84,150,224
172,102,183,113,132,228,57,255,81,130,186
268,104,204,119,183,237,98,260,84,150,224
172,102,183,113,132,228,57,255,81,130,186
172,102,183,113,132,228,57,255,81,130,186
187,82,134,90,99,161,60,98,70,89,182
189,82,133,90,102,161,103,202,70,88,173
268,104,204,119,183,237,130,260,84,150,224
172,102,183,113,132,228,57,255,81,130,186
172,106,197,119,181,237,57,255,83,147,197
268,104,204,119,183,237,130,260,84,150,224
172,102,183,113,132,228,57,255,81,130,186
187,82,134,90,99,161,60,210,70,89,182
268,104,204,119,183,237,79,251,84,150,187
253,110,217,137,156,234,79,188,86,147,187
225,104,98,119,139,217,110,100,86,122,184
253,110,217,137,156,234,79,188,86,147,187
152,62,98,71,94,138,104,100,48,85,136
253,110,217,137,156,234,170,188,86,147,237
225,104,98,119,139,217,110,100,86,122,184
253,110,217,137,156,234,170,188,86,147,237
225,104,98,119,139,217,120,100,86,122,172
244,103,202,116,153,229,143,197,81,128,179
164,101,203,113,136,220,78,170,79,121,165
244,103,202,116,153,229,143,197,81,128,179
244,103,202,116,153,229,143,197,81,128,179
164,101,203,113,136,220,78,170,79,121,165
241,103,203,116,154,230,78,170,81,129,176
244,103,202,116,153,229,143,197,81,128,179
241,103,203,116,154,230,78,170,81,129,176
264,119,238,132,170,253,110,184,95,159,172
149,89,174,107,133,194,79,214,65,114,166
149,89,174,107,133,194,79,214,65,114,166
264,119,238,132,170,253,110,184,95,159,172
264,119,238,132,170,253,110,184,95,159,172
149,89,174,107,133,194,79,214,65,114,166
172,102,183,113,132,228,57,256,81,130,186
240,104,192,111,135,230,70,259,82,128,177
224,104,196,119,139,218,155,245,86,122,216
225,104,197,119,139,217,110,206,86,122,218
225,104,98,119,139,217,110,100,86,122,172
224,104,196,119,139,218,155,245,86,122,216
281,115,235,140,185,257,187,253,89,154,240
272,112,234,133,175,257,139,259,88,155,184
281,115,235,140,185,257,187,253,89,154,240
266,112,234,133,150,257,139,259,88,155,184
216,115,235,140,176,239,38,253,89,154,171
281,115,235,140,185,257,76,253,89,154,218
229,96,190,110,147,221,102,128,88,123,180
281,115,235,140,185,257,76,253,89,154,218
281,115,235,140,185,257,187,253,89,154,240
272,112,234,133,175,257,134,259,88,150,184
281,115,235,140,185,257,187,253,89,154,240
272,115,234,140,180,258,149,259,88,155,229
229,96,190,110,147,221,133,243,84,123,210
266,107,225,126,150,257,102,128,84,140,180
272,112,234,133,155,257,143,259,88,155,224
281,115,235,140,185,257,187,253,89,154,240
272,107,226,126,155,257,134,259,84,140,184
331,125,256,160,193,297,120,252,93,175,228
281,115,235,140,185,257,187,253,89,154,240
281,115,235,140,185,257,187,253,89,154,240
229,96,190,110,147,221,133,243,84,123,184
295,107,226,126,158,260,140,261,84,140,210
331,125,256,160,193,297,120,252,93,175,228
287,116,219,131,177,258,72,182,92,150,216
331,125,256,160,193,297,120,252,93,175,228
314,116,216,131,192,295,68,182,92,150,209
331,125,256,160,193,297,120,252,93,175,228
287,116,216,131,177,258,71,182,92,150,216
287,116,219,131,177,258,72,182,92,150,216
331,125,256,160,193,297,120,252,93,175,228
287,116,216,131,177,258,71,182,92,150,209
328,125,243,159,194,295,68,182,92,175,209
331,125,256,160,193,297,120,252,93,175,228
287,116,216,131,177,258,71,182,92,150,209
331,125,256,160,193,297,120,252,93,175,228
283,110,239,129,174,269,58,212,89,147,182
331,119,273,156,196,286,88,221,89,177,247
283,110,239,129,174,269,58,212,85,147,182
331,119,273,156,196,286,88,221,89,177,247
333,120,272,154,193,281,85,212,89,175,245
289,110,240,129,174,281,80,212,89,147,218
331,119,273,156,196,286,88,221,89,177,247
283,110,239,129,174,269,58,212,85,144,182
331,119,273,156,196,286,88,221,89,177,247
331,119,273,156,196,286,88,221,89,177,247
285,110,240,129,174,280,80,212,85,144,212
331,119,273,156,196,286,88,221,89,177,247
283,110,240,129,174,269,58,212,89,147,182
331,119,273,156,196,286,88,221,89,177,247
293,113,233,142,180,268,135,165,89,157,239
287,112,225,133,178,246,98,257,83,156,235
293,113,233,142,180,268,135,165,89,157,239
293,113,233,142,180,268,135,165,89,157,239
287,112,225,133,178,246,101,257,83,156,235
287,112,225,133,178,246,98,257,83,156,235
294,114,232,149,183,275,146,175,90,170,217
284,115,228,136,177,255,59,249,83,149,194
297,115,228,136,178,255,59,254,83,151,188
294,114,232,149,183,275,146,175,90,170,217
294,114,232,149,183,275,146,175,90,170,217
284,115,228,136,177,255,59,249,83,149,188
281,134,221,158,183,253,31,98,100,162,201
297,134,226,162,187,266,79,251,106,170,187
292,107,225,125,158,256,75,267,83,141,165
229,96,190,110,147,221,102,128,84,123,180
292,107,225,125,158,256,145,267,83,141,217
229,96,190,110,147,221,133,243,84,123,210
292,107,225,125,158,256,145,267,83,141,217
229,96,190,110,147,221,133,243,84,123,210
292,107,225,125,158,256,145,267,83,141,217
292,107,225,125,158,256,145,267,83,141,217
229,96,190,110,147,221,133,243,84,123,210
287,119,216,144,177,258,68,182,92,158,216
281,117,222,141,180,264,118,302,94,160,210
287,119,216,144,177,258,68,182,92,158,216
281,117,222,141,180,264,75,302,94,160,165
281,117,222,141,180,264,118,302,94,160,210
287,119,219,144,177,258,102,182,92,158,216
309,125,274,151,193,295,157,323,86,166,220
283,113,245,132,181,269,58,212,85,144,182
309,125,274,151,193,295,157,323,86,166,220
283,116,239,138,182,269,58,212,85,144,182
309,125,274,151,193,295,157,323,86,166,220
306,123,274,149,192,291,145,297,85,161,212
295,113,245,132,181,281,80,212,85,156,182
309,125,274,151,193,295,157,323,86,166,220
242,103,199,121,155,218,144,265,88,133,192
231,87,183,105,139,204,26,256,65,120,151
242,103,199,121,155,218,141,265,88,133,192
231,103,195,120,154,206,26,267,90,134,151
242,103,199,121,155,218,144,265,88,133,192
231,87,183,105,139,204,26,256,65,120,151
242,103,199,121,155,218,144,265,88,133,192
231,103,195,120,154,209,114,267,90,134,178
242,103,199,121,155,218,144,265,88,133,192
231,87,183,105,139,204,26,159,65,120,151
242,103,199,121,155,218,144,265,88,133,192
231,103,195,120,154,209,150,267,90,134,178
242,103,199,121,155,218,144,265,88,133,192
231,87,183,105,145,206,26,159,65,120,151
242,103,199,121,155,218,144,265,88,133,192
231,103,195,120,154,206,26,159,90,134,151
247,87,192,105,147,220,126,268,66,120,200
240,87,183,105,145,211,136,262,65,120,194
247,87,192,105,147,220,126,268,66,120,200
231,87,183,105,145,209,104,262,65,120,159
231,87,183,105,145,206,26,262,65,120,151
247,87,192,105,147,220,126,268,66,120,200
233,91,186,106,145,216,118,260,85,121,233
231,87,183,105,139,204,26,159,65,120,151
270,129,225,144,158,262,71,354,111,151,188
265,112,229,128,160,260,44,334,91,147,159
270,129,225,144,158,262,71,354,111,151,188
265,112,229,128,160,260,44,305,88,146,179
286,128,241,139,165,264,81,351,112,154,182
265,112,229,128,160,268,77,354,91,147,179
270,129,225,144,158,262,71,354,111,151,188
265,112,229,128,160,260,44,285,88,146,173
270,129,225,144,158,262,71,354,111,151,188
291,132,227,153,168,267,62,360,103,156,201
