记录日,销售量
RD0,1947.62
RD1,1734.72
RD2,995.06
RD4,4975.99
RD6,5097.51
RD7,2706.52
RD8,746.01
RD11,4481.51
RD14,5933.21
RD16,1576.86
RD18,3240.08
RD21,4782.23
RD24,2306.65
RD28,4815.51
RD33,4002.08
RD39,4223.08
RD44,3334.32
RD49,3238.84
RD59,4139.48
RD69,3860.97
RD79,2789.7
RD89,2477.79
RD99,1870.82
RD119,2863.18
RD139,1462.64
RD159,609.88
RD179,447.11
RD209,590.39
RD239,328.02
RD269,213.28
RD330,234.62
