B,G,H,K,L,M,Q,S,T,V,Y
1.35,4.28,2.57,2.23,15.02,2.24,3,0,3.56,15.13,4.32
0,0,1.33,0,2,3,0.99,0,0,0,11.59
0.31,0,12.43,0.33,16.5,8.02,0,0,5.02,13.86,18.75
0,0,2.28,0.56,4.58,0,2.94,0,0,3.51,7.24
4.27,6.7,7.71,9.65,26.69,3,22.14,0,10.75,10.08,13.93
0.38,0.02,2.99,0.68,7.99,0.33,2.74,0,1.02,3.92,9.17
0.33,0,11.09,1.34,12.81,10.11,2.55,0,1.33,17.65,12.27
5.1,0.81,8.15,10.2,29.85,7.4,28.96,1.41,12.99,17.96,20.14
2.78,0.33,3.65,1.99,9.72,4.2,17.66,1.46,2.25,8.35,9.45
2.5,12.18,6.21,8.18,24.55,5.45,20.87,4.32,7.06,11.34,10.82
1.64,11.29,3.92,5.39,6.09,2.64,7.31,1.95,15.02,3.22,5.84
1.62,0.56,12.46,2.47,2.55,5.38,6.36,4.44,4.47,40.39,20.18
1.56,19.49,4.31,9.19,4.02,3.27,10.31,3.94,13.29,2.75,6.84
4.89,7.78,22.02,11.33,8.84,19.92,66.18,10.79,51.75,7.39,25.44
0.88,11.55,9.03,9.58,9.99,3.46,14.32,3.91,8.09,5.12,7.03
1.99,12.88,2.92,4.74,2.94,1.97,1.98,5.85,11.12,2,7.86
5.14,10.51,51.6,17.56,16.68,11.99,45.68,6.94,7.6,9.48,32.19
5.78,18.14,25.16,29.34,4.16,20.84,16.74,7.62,17.34,12.62,39.8
0.32,8.47,2.9,3.78,5.64,2.86,2.98,0.96,8.49,10.57,10.16
5.23,10.7,15.33,7.51,6.47,7.19,12.45,3.9,16.13,8.67,10.48
2.89,25.18,19.78,12.15,15.49,5.36,37.63,2.44,6.65,36.09,15.56
0.97,3.04,9.07,0.03,0,3.05,3.07,1.47,2.55,36.11,13.08
0,15.62,6.57,21.94,8.01,2.59,21.38,4.26,3.45,19.96,7.41
0.5,23.53,8.57,3.67,3.59,1.96,5.48,4.26,18.7,2.36,3.27
7.71,10.79,36.7,23.97,29.88,12.81,31.3,6.25,9.94,25.67,23.43
1.97,9,2.24,4.67,2.4,4.6,4.66,6.18,10.03,1.04,6.1
8.05,15.73,43.07,25.74,14.56,15.22,24.79,4.6,5.89,16.07,21.15
5.77,33.94,11.5,28.85,13.2,8.27,32.23,4.51,10,12.78,10.77
2.32,23.46,5.97,22.57,10.27,5.32,8.34,3.88,11.55,42.67,7.5
0.33,0,1.32,2.66,0,2.3,0.34,1.62,0.99,23.54,3.31
0.33,1,8.78,0.65,0,2.97,3.32,8.89,0.99,0,16.06
0.86,32.27,8.02,21.55,9.5,6.53,18.99,9.48,25.78,16.61,8.61
0.33,10.91,13.69,13.18,4.03,4.35,5.85,0.99,12.87,8.97,7.35
1.12,29.2,9.25,30.17,12.78,9.62,24.74,3.4,23.24,11.18,14.46
0.81,25.67,6.39,12.85,7.16,7.03,4.67,1.13,24.55,4.25,6.96
1.73,10.48,3.26,9.4,6.95,2.6,4.74,1.41,11.79,8.05,5.88
2.66,8.16,2.99,7.26,6.19,2.56,2.34,0.62,13.35,4.57,4.8
0,0,0.64,0,2.8,0,4.45,0,4.23,52.28,6.88
4.9,53.12,4.47,28.28,17.69,4.84,17.91,5.84,27.5,16.47,9.89
2.55,37.32,11.01,25.56,21.85,7.44,16.92,4,22.21,22.02,11.6
0.65,31.51,3.18,13.88,6.24,2.19,10.26,0.55,15.91,6.83,7.83
0.66,12.47,5.19,0.41,4.67,2.3,10.01,0.33,10.72,3.68,3.57
