B,G,H,K,L,M,Q,S,T,V,Y
14.33,0,1.32,12.31,2,10.66,6.99,2.66,0,3.33,14.98
0.26,15.49,7.45,9.62,3.57,1.64,5.94,0,7.91,0,3.31
9.34,2.41,1.56,6.33,8.99,8.65,6.37,4.32,1.72,1.32,12.99
6.94,9.24,19.81,15.64,26.34,4.81,11.76,2.97,3.08,10.47,8.1
1.98,19.75,2.75,5.51,19.28,0.39,4.67,3,4.41,11.71,2.6
2.65,0.3,1.66,4.52,2.4,0.05,1.91,0.73,0.37,2.35,3.03
2.3,36.27,0.33,14.25,14.07,1.22,6.1,1.15,9.46,13.41,3.5
1.34,13.55,1.01,8.09,8.02,1.73,5.5,0.52,2.62,4.32,2.34
0.33,6.75,0,5.13,19.37,0,2.81,0.78,7.51,3.59,0.57
2.74,33.45,4.36,11.72,21.7,0,5.88,1.77,7.62,11.29,10.4
0.57,8.93,0.46,4.3,2.32,0.32,2.88,0,4.28,1,1.33
0.25,7.13,5.21,11.6,17.94,0.65,5.69,1.94,1.07,5.8,2.39
0.49,4.84,0,3.26,4.67,0,1.66,0.54,6.67,0.95,4.89
21.66,4.63,2.62,31.39,7.36,9.2,14.82,2.5,9.71,7.57,8.87
13.38,8.88,2.25,38.36,22.97,18.53,26.01,4.64,5.99,19.64,18.02
11.34,0.05,1.01,10.7,3.05,10.67,7.7,2.34,0.05,1.05,8.64
14.82,13.47,2.35,25.09,7.93,9.18,6.41,2.18,17.32,20.44,15.36
5.1,15.27,2.1,11.45,2.88,6.39,14.58,4.1,9.72,9.21,6.22
6.15,2.37,5.53,6.26,1.54,6.57,11.18,1.51,7.08,1.87,4.58
2.72,1.41,1.87,4.58,0.67,2.05,1.55,1.39,0.95,2.54,2.37
7.2,10.63,8.35,4.53,14.45,6.89,35.9,4.65,9.28,4.61,15.58
6.38,11.51,4.81,3.34,10.51,3.87,16.01,3.64,10.48,4.29,4.93
0,30.62,0.33,9.88,0.66,3.66,1.97,0,30.14,1.71,1.33
11.33,3.22,0,9.53,3.73,2.9,4.85,0,35.39,2.21,3.65
3,4.05,0,1.84,0,0.33,3.04,0,30.78,0,0.33
0.34,24.19,0.33,7.92,5.92,10.85,0.7,1.36,26.7,3.71,3.38
0.63,5.71,3.76,0.65,1.12,0,4.2,0,33.97,0.33,1.31
1.68,13.9,2.33,10.5,17.12,3.14,12.03,2.74,11.59,7.01,5.41
0.96,17.46,0,10.85,3.76,1.35,3.17,0.3,17.17,4.28,1.24
5.11,4.3,0.31,11.68,2.63,6.32,2.99,3.65,6.16,1.39,6.86
10.75,7.21,1.68,15.36,2.63,6.05,6.68,4.38,8.2,0.33,8.15
0,6.23,6.49,0.33,4.78,0.63,2.94,0,31.82,1.05,0.85
0,30.84,6.12,19.45,2.37,1.78,2.01,0.63,7.12,22.25,0.31
3.72,23.24,4.07,8.67,7.47,9.43,1.98,6.35,19.69,4.6,9.54
3.78,12.22,4.31,22.03,7.84,7.11,9.28,4.08,3.57,3.16,5.37
6.7,6.58,3.3,4.86,22.32,3.89,6.27,2,8.53,6.81,3.33
3,15.87,2.3,7,17.62,0.68,5.41,2.3,9.36,6.02,4.42
4.27,17.85,5.64,9.3,18.46,7.81,10.01,2.22,9.67,11.65,5.92
5.4,8.74,3.93,6.31,17.74,4.96,8.52,2.64,7.01,3.99,3.84
0.33,16.08,0.33,6.79,14.77,0.72,0.34,2.73,13.23,5.09,4.68
3.35,19.03,2.81,12.69,4.64,5,3.43,1,6.23,2.81,8.86
6.84,14.69,3.72,22.46,3.35,0,1.22,0,1.06,11.25,2.28
8.97,31.98,8.5,27.37,2.53,2.49,3.22,0,3.33,12.75,9.29
1.49,11.19,2.17,7.03,8.59,3.97,2.3,3,9.88,5.51,6.91
12.1,12.52,1.54,24.83,3.8,8.56,13.04,10.62,7.47,10.71,12.11
10.26,25.43,1.02,25.44,5.03,0.67,10.24,0,5.69,13.14,3.12
4.6,17.17,0.64,6.67,11.81,3.05,3.25,2.63,10.22,1.67,7.14
1.64,5.8,1.7,1.71,8.85,0,2.04,2.33,3.45,1.88,2
5.13,5.72,1.95,3.24,10.11,4.58,4.23,1.71,4.74,4.17,5.77
9.39,10.02,3.78,9.58,4.67,3.91,15.72,3.58,8.03,4.37,9.2
4.12,1.95,4.97,10.69,9.38,5.28,13.32,1.75,3,1.76,5.18
5.42,3.21,3.47,6.15,4.86,4.16,18.75,4.45,15.91,8.25,8.55
4.43,6.81,3.24,8.93,7.63,4.14,2.05,2.16,4.75,2.48,8.8
3.64,5.11,3.55,2.71,2.44,2.48,5.67,3.36,8.9,3.48,2.22
7.14,4.81,6.05,10.34,6.43,0.82,2.85,1.85,40.48,7.45,5.78
5.94,5.61,8.71,3.14,1.84,0.75,1.4,2.67,38.17,6.46,2.97
0.58,5.49,2.17,13.38,0.33,0.65,0,0,39.68,1,1.47
3.6,4.9,1.31,1.99,10.61,1.8,6.45,0.69,7.49,3.68,3.76
3,13.11,0.81,17.96,0,0,2.06,0,30.02,0.67,1.21
2.07,9.44,2.51,24.13,1.99,6.89,2.73,2.85,31.38,9.99,6.52
5.21,2.33,6.96,3.96,3.49,0.2,0,1.34,42.93,3.05,2.19
10.25,7.9,11.08,11.56,7.05,0.95,2.5,2.66,46.72,4.43,6.3
0.61,2.27,0.09,11.61,0.09,0.09,0.41,0,54.91,4.53,4.09
3.66,15.72,7.49,24.14,1.93,0,5.72,0,20.11,7.1,0.24
1.5,5.52,0.3,1.54,10.15,0.47,3.01,0.43,7.59,4.5,2.43
0,3.14,2.44,12.22,0.27,4.13,0.36,0,12.07,2.31,5.25
1.08,17.31,0.94,4.27,8.13,1.59,0.56,1,7.57,1.26,2.65
2.97,24.41,5.51,4.54,2.93,7.25,3.65,2.96,35.25,9.51,7.37
1.6,0.1,1.99,0.1,0.1,0.28,0.05,0.01,1.25,0.75,3.9
4.03,12.64,9.61,12.84,8.98,6.81,5.61,7.16,32.84,39.5,9.21
4.15,35.13,3.96,19.33,3.5,2.63,4.66,2.01,20.85,20.28,5.63
2.76,22.99,5.66,8.75,0.63,1.06,4.05,0.7,51.42,7.5,4.04
4.49,31.97,3.59,23.99,6.08,4.43,6.53,1.17,24.92,18.36,11.6
2.6,9.57,4.45,7.94,2.77,3.5,0.96,1.45,41.8,13.49,2.88
5.04,21.41,10.12,19.53,5.23,1.56,2.84,0.28,18.28,20.92,3.36
0.95,5.78,1.77,0.53,1.55,2.33,0.27,2.54,7.97,4.92,1.39
2.24,43.4,6.91,15.51,3.95,0.26,2.23,1.37,10.79,14.62,4.27
2.96,9.53,9.52,13.61,11.78,6.55,7.03,1.35,19.34,18.43,10.47
0.85,25.29,4.71,18.45,5.41,1.59,13.28,0.29,10.08,17.63,7.65
4.38,3.59,5.92,10.49,1.67,3.39,7.82,2.46,12.18,2.55,4.8
0,21.71,1.65,21.59,3.73,6.02,0.49,0,35.52,2.31,1.52
6.12,23.28,6.8,19.25,47.29,11.58,6.05,2.02,18.12,6.12,14.36
5.97,3.67,2.01,15.75,6.14,4.32,6.29,2.66,6.85,0.99,5.85
10.57,3.33,0.76,18.65,7.22,6.84,11.87,1.62,5.9,3.92,11.34
5.51,12.67,0,5.29,6.15,4.59,0.59,2.43,8.21,1.09,1.73
2.54,9.88,0.31,4.27,1.66,1.18,1,1.48,11.41,0.83,2.01
0.28,16.69,0.71,19.8,2.25,6.83,0.66,0,38.03,0.6,2.1
1.61,8.34,0.31,21.25,0.84,11.36,1.8,0.89,44.46,2.72,3.47
5.56,10.34,1.73,8.99,13.83,0,0.44,0.33,38.73,0.52,4.79
1.3,19.54,3.83,11.45,2,0,7.6,0,25.56,0.7,1.33
0,16.29,7.9,11.82,1.03,0,5.2,0,14.89,0.75,0
0,4.55,3.26,1.02,5.18,0,11.89,0,32.76,0.38,4.6
5.81,17.98,2.54,6.15,8,6.45,1.31,1.29,12.68,1,0.86
5.41,6.26,0.82,1.76,2.05,3.69,1.62,1.53,7.77,0.66,0.99
0.97,8.73,1.25,5.11,18.29,2.12,13.14,0.46,37.29,2.6,5.29
7.59,11.25,1.66,10.91,9.03,0,1.62,3.14,41.93,1.47,2.89
2.03,14.68,0,8.17,7.05,0.34,11.72,5.17,6.04,6.79,2.88
0.99,15.68,0,6.99,9.3,0.59,6.67,11.2,7.38,2.67,2.25
22.49,41.93,8.35,11.75,12.2,4.69,9.46,0.21,21.26,22.79,19.08
7.17,4.17,0.97,0.23,24.3,0,9.46,0.31,2.05,6.14,8.39
0.33,16.52,16.34,13.87,0.32,2.3,8.4,0,6.51,0.33,1.93
0,8.82,7.63,2.97,0.33,0.33,4.19,0,30.97,0,2.93
10.88,13.38,3.54,16.32,29.18,1.47,3.2,1.42,45.97,0.66,5.83
9.5,25.69,4.29,16.95,16.24,2.38,10.98,5.42,10.65,11.35,37.68
1.02,9.34,14.57,3.02,6.12,1.7,11.01,0,34.07,2.86,1.32
11.24,13.04,7.23,5.11,18.38,0.34,9.73,1.1,28.39,3.28,10.97
0.33,1.93,5.65,0,0.33,0,1.96,0,17.19,0,1.6
2.96,5.39,0.64,5.62,3.12,0,0.27,0.33,58.53,0,1.75
0,14.93,1.65,2.36,6.89,0.01,4.07,2.59,7.12,2.49,0.69
0.54,26.74,6.64,9.37,5.17,0.69,3.67,4.7,9,7.22,3.2
0,3.55,0.66,1,6.34,0.83,2.33,3,8.59,1.33,3.32
3.47,27.69,4.57,17.23,18.43,2.82,16.08,10.59,7.57,14.19,10.58
0,8.94,7.99,1.62,0.66,0,8.43,0,28.35,1.54,2.01
5.92,9.16,0.79,5.36,3.22,6.48,0.47,1.98,5.59,1.99,2.31
4.56,0.47,0.68,5.06,1.29,1.99,2.33,1.33,0.14,2.72,2.32
0,13.55,0,28.01,0,0,0,0,0,0.98,2
0,15.71,0.51,54.04,0,0,0,0.73,0.04,0.52,4.56
0,14.42,4.42,4.11,0.66,0,2.9,0,27.14,1.35,7.3
3.31,16.96,5.95,10.62,2.3,0.71,0,0.61,24.76,4.01,3.2
0,9.99,6.66,1.89,0,0,3.93,0,34.16,0.33,2.65
4.9,29.82,2.49,29.2,6.41,6.38,0.09,0.66,36.57,0.97,10.38
1.39,9.53,11.96,5.48,1.89,1.49,4.85,0,20.89,0,2.3
6.22,8.65,5.55,8.96,11.02,1.88,4.34,1.66,39.31,5.27,1.84
6.69,48.74,9.05,14.43,16.65,3.36,11.15,4.82,42.4,19.87,12.49
3.87,8.17,3.66,3.66,7.68,0.99,5.36,0.81,10.07,5.29,6.01
4.86,3.15,2.76,2.97,14.66,4.8,6.96,0,2.68,3.61,8.19
5.43,0.46,0,0,5.4,3.5,6.35,0,0,0,4.24
7.3,4.37,2.63,3.25,4.69,1.37,0.03,1,31.38,3.29,1.32
6.5,4.83,0.72,13.04,8.57,0.92,0.34,2.8,38.79,13.63,4.34
1.72,38.02,1.9,19.69,0.53,7.03,0.01,0.33,19.14,2.89,4.54
14.92,7.52,5.17,6.51,19.43,2.21,11.84,1.15,4.38,7.54,6.92
1.09,20,3.96,19.38,1.12,11.95,0,0.28,33.43,0.77,5.18
0,9.88,4.71,2.24,1.81,0.65,3.32,0,31.34,1.47,2.99
3.46,11.65,12.82,3.07,2.6,0.29,10.69,0,38.11,0.35,4.1
0.22,34.94,5.82,8.07,2.87,1.01,2.12,0,54.97,0.67,4.47
3.99,6.76,4.83,8.32,11.27,3.79,6.53,1.07,20.23,5.12,3.52
1.71,23.73,1.65,15.32,2.95,0.66,2.74,1.33,18.38,0.92,2.32
0,9.93,4.37,9.44,2.48,0.67,2.34,0,42.29,0.31,2.32
6.97,11.1,0.2,4.19,6.27,0,1.26,1.94,24.95,6.28,1.58
2.75,23.94,0.92,13.36,13.26,2.64,13.43,6.78,5.21,9.78,5.2
9.923333333,8.969999999,2.86,0,56.85333333,15.90333333,8.666666666,0,1.43,14.60333333,27.3
9.923333333,8.969999999,2.86,0,56.85333333,15.90333333,8.666666666,0,1.43,14.60333333,27.3
9.923333333,8.969999999,2.86,0,56.85333333,15.90333333,8.666666666,0,1.43,14.60333333,27.3
