B,G,H,K,L,M,Q,S,T,V,Y
0.31,0,11.82,0,11.51,7.39,0,0,5.02,13.55,17.5
0,0,1.57,0,1.81,0,2.61,0,0,2.94,5.39
4.27,6.7,6.71,9.65,24.69,3,22.14,0,9.75,9.08,13.43
0.38,0.02,2.99,0.68,7.99,0.33,2.74,0,1.02,3.92,9.17
0.33,0,11.09,1.34,12.81,10.11,2.55,0,1.33,17.65,12.27
2.69,0.39,7.35,7.01,15.54,5.26,27.14,1.37,8.66,15.06,15.34
1.05,0.33,3.32,1.66,8.4,4.2,17.66,1.46,1.25,8.02,8.79
0.34,11.79,3.7,5.5,9.81,4.67,18.19,4.32,4.54,4.86,9.85
1.64,11.22,3.92,5.3,3.67,2.64,7.31,1.95,14.63,3.13,4.73
1.62,0.56,12.46,2.47,2.55,5.38,6.36,4.44,4.47,40.39,20.18
1.56,17.85,4.31,9.17,4.02,3.27,10.31,3.94,13.27,2.73,6.84
1.27,2.71,19.59,2.12,3.79,18.69,65.1,10.79,51.05,1.4,20.97
0.88,11.55,8.7,9.58,8,3.46,14.32,3.91,8.09,5.12,7.03
1.99,12.88,2.92,4.74,2.94,1.97,1.98,5.85,10.12,2,5.86
1.71,3.53,37.91,2.3,3.13,8.08,40.65,5.81,4.18,2.58,13.7
1.98,3.21,20.97,9.39,2.54,13.72,16.08,7.29,2.35,5.31,23.63
0.32,7.47,2.9,2.78,4.31,2.86,2.98,0.96,6.82,9.9,8.83
4.84,10.37,14.66,7.18,5.81,7.19,12.12,3.9,16.13,8.67,10.15
0.72,4.05,13.55,7.59,4.26,4.84,25.79,2.44,4.56,17.58,5.2
0.97,2.46,1,0,0,1.44,0.49,1.47,1.97,36.11,0.92
0,11.93,1.69,2.27,0.92,1.68,7.93,1.58,1.42,0.71,2.68
0.5,23.53,8.07,3.67,2.09,1.96,5.48,3.93,18.7,2.36,2.27
0.81,6.09,32.83,12.6,10.81,11,26.92,5.26,6.72,10.3,13.88
1.97,9,2.24,4.67,2.4,4.6,4.66,6.18,9.7,1.04,4.43
2.32,5.59,29.06,11.28,3,12.64,20.4,3.43,3.78,9.8,12.32
0.63,18.77,5.91,5.69,0.23,4,18.52,3.5,3.56,2.54,3.93
0,7.08,1.72,7.03,5.98,1.12,3.39,0.76,2.3,27.84,2.44
0.33,0,0.99,2.66,0,2.3,0.34,1.62,0.33,23.54,2.29
0.33,0.66,1.32,0.65,0,2.28,2.65,7.45,0.99,0,5.58
0.3,10.24,2.52,3.93,2.02,3.39,10.97,1.98,5.69,3.5,2.8
0.33,10.91,13.69,13.18,4.03,4.35,5.85,0.99,12.87,8.97,7.35
0.41,8.79,2.79,7.55,5.54,6.11,12.38,1.91,9.83,0.6,7.23
0,6.55,0.75,1.56,2.41,2.46,0.96,1.13,8.02,0,3.89
1.73,10.48,3.26,9.4,6.95,2.6,4.74,1.41,11.79,8.05,5.88
2.66,8.16,2.99,7.26,6.19,2.56,2.34,0.62,13.35,4.57,4.8
0,0,0,0,1.95,0,4.45,0,4.23,43.65,5.49
0.99,25.3,2.34,8.19,2.61,4.38,13.6,5.24,17.6,4.99,6.69
2.55,37.32,11.01,25.56,21.85,7.44,16.92,4,22.21,22.02,11.6
0.33,16.08,1.59,1.85,3.76,0.97,6.28,0.3,9.12,2.86,4.82
0.66,12.47,5.19,0.41,4.67,2.3,10.01,0.33,10.72,3.68,3.57
0.66,1.4,67.45,1.27,5.76,8.8,64.52,9.66,1.41,11.03,26.13
2.9,8.37,15.87,3.74,15.62,2.98,10.35,0.66,13.06,2.51,6.12
0.27,26.3,5.08,6.7,5.76,6,9.82,1.77,13.9,3.15,7.28
0,14.19,15.17,1.12,13.85,0.74,5.05,0,20.77,3.63,3
0,16.41,0,4.57,0.97,1.11,3.67,0,4.96,15.27,3.17
2.79,18.97,17.1,6.13,9.48,5.34,9.23,1.67,11.4,6.94,7.31
0.37,29.23,14.12,14.57,2.2,8.33,32.69,3.89,9.92,8.98,14.11
1.92,10.8,1.3,17.06,4.93,1.3,2,0.64,30.33,3.27,6.72
1.98,7.33,0.99,21.33,0.98,1.94,3.03,1.96,10.06,1.08,2.97
3.26,18.67,20.13,20.9,6.16,7.31,5.27,0.68,3.78,1.56,8.16
5.06,2.39,0.39,27.88,0.99,3.57,0,3,29.21,4.1,5.92
3.21,16.99,6.21,31.86,2.55,7.08,7.72,2.16,16.04,15.45,8.29
0,0.33,0,0,0,0,0,0,0.69,0,0
2.12,27.33,16.74,20.44,14.07,8.54,21.15,4.88,10.44,53.54,23.99
0.88,8.06,3.73,14.63,0.92,4.34,0.72,0.55,14.43,1.5,2.59
0,0,5.72,0.33,12.8,8.8,3.48,0,0,0,22.8
0,0,2.33,0.33,1.33,3.09,0.99,0,0.67,0.67,6.84
0,0,0.33,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2
0,0,9.26,0.54,11.44,4.04,2.33,0,0,1.08,22.31
0,0,10.11,0,9.92,3.12,2.71,0,13.45,0,19.02
0.05,0.05,4.74,0.05,1.71,3.75,0.7,0.05,0.72,0.05,12.54
0,0,0.67,0,2,2.41,1.99,0,3.12,0,13.6
0,0,1,0,0,0,0.67,0,0,0.99,0.33
0.3,13.21,14.59,11.62,7.98,0.95,16.05,0,0,1.44,13.56
1.66,11.6,12.42,6.73,15.24,1.48,11.54,0.33,0.15,0.43,21.81
0.04,12.76,10.95,5.62,5.85,0.04,11.9,0.04,0.04,6.65,14.56
0.75,15.12,6.3,8.8,10.27,1.65,2.62,0,0.21,1.03,13.44
0,17.63,6.05,5.84,3.74,1.53,2.89,0,0.05,0.04,8.78
0,13.02,5.63,5.95,4.31,1.92,6.5,0,0,0.66,13.49
0,15.24,4.75,1.96,9.43,1.05,5.56,0,0.06,1.7,11.23
0,13.7,10.15,8.6,10.86,0.97,12.77,0,0,1.65,19.95
0,20.88,7.21,2.92,12.13,0.32,8.7,0.33,0.01,0.31,16.55
0.52,19.64,9.91,6.31,2.94,0,8.57,0,1.57,0.86,12.93
0,0.68,0,0.01,0.67,0.99,0.34,0,0.01,0.01,2.24
0,122.59,1.44,8.5,3.21,4.29,0,0,12.42,4.04,0
0,123.05,0,9.91,0.01,0,1.72,0,41.27,4.19,0
0,21.17,0,31.57,0,0,0,0,22.95,0.87,1.01
5.5,21.73,3.95,34.88,19.98,0.85,4.69,0,58.34,26.1,4.47
0.33,36.31,3.59,23.01,2.04,0,2.54,0,88.43,9.92,0.89
0,11.74,8.08,66.15,20.33,7.67,6.62,0,0.39,18.52,3.46
0.29,13.25,2.72,7.69,1.64,14.32,0.87,0.3,52.19,1.72,3.69
6,9.41,3.99,3.36,21.77,4.17,13.52,0,69.32,0.33,4.57
0,49.01,0,1.17,3.24,0,3.22,0,72.69,4.45,0.63
3.41,17.57,4.71,7.43,20.35,0.38,12,0.03,71.79,2.69,3.68
0,65.44,0.67,23.6,7.82,0,5.05,0,64.11,24.42,0
0.29,14.94,0.82,3.52,20.86,0,4.48,0,20.73,21.74,2.31
0.46,14.18,5.5,35.77,8.55,0,9.64,0,7.49,2.65,0.91
0,4.44,0.72,55.13,0,1.23,1.17,0,0.07,20.27,0.66
0.66,32.07,1.77,4.76,6.53,0.99,0.7,0.32,42.56,19.78,1.22
7.81,0.71,0.06,35.01,31.03,6.83,14.34,0,0.71,13.29,15.12
1.16,46.95,2.05,16.14,6.18,2.46,2,0,17.09,17.38,5.07
0,17.93,0,30.43,0.67,0,0,0,10.54,2.63,0.33
4.07,31.88,7.89,40.4,4.53,13.17,1.89,0,43.17,4.89,5.22
0,31.36,2.44,3.75,14.82,2.12,7.61,0,116.91,26.37,0
0,50.15,0.67,28.33,11.3,0.63,8.02,0.31,66.36,14.03,0.95
0.29,27.57,8.84,10.15,3.3,1.23,10.75,0.27,95.68,11.84,4.31
0.77,32.39,2.03,25.67,6.46,1.88,5.08,0,113.01,10.91,3.47
0,37.75,0.66,34.54,10.41,1.3,5.64,0,126.38,8.59,1.22
2.14,35.41,2.6,4.4,1.13,0.84,5.77,0.28,88.23,4.68,3.39
0,35.15,5.16,11.66,8.39,0.97,9.33,0,103.59,15.45,1.52
0,54.47,0.7,59.96,12.64,0,9.05,0,86,14.06,0.66
0,10.74,0,91.79,0.54,0,0.42,0.67,37.78,5.56,0.45
1.28,29.84,10.87,74.11,27.92,9.95,19,0,17.51,60.55,1.34
0,6.45,1.05,36.28,0,0,0,0,19.5,0.39,0.6
0.32,16.37,0.48,67,1.93,2.27,0.99,0,55.21,0.96,1.68
0,21.71,7.13,86.51,24.99,6.41,8.02,1,4,13.62,5.97
0.68,30.93,2.14,13.62,6.06,0,4.77,0,103.92,12.38,0.98
3.42,7.8,15.76,173.74,13.77,5.85,8.31,0,5.57,37.84,11.28
0,7.58,0.83,1.53,17.61,0.33,3.15,0,40.76,8.06,1.49
1.33,0,4.67,1,0,3,0.99,0,2.67,8.65,0
0,18.48,2.23,7.82,24.66,1.33,3.42,0.64,49.63,15.4,3.55
0,26.33,1.93,14.06,13.67,0.96,2.24,0,86.64,10.62,3.04
0.56,9.29,1.46,0.87,31.76,0,3.31,0,67.07,9.85,2.44
0.33,46.51,2.38,28.51,20.6,0.75,0.6,0,54.75,13.69,4.48
1.73,34.16,2.05,5.74,13.45,0.33,4.63,0.29,68.01,13.46,3.39
3.59,0.92,20.75,9.01,18.59,13.04,43.06,6.93,2.04,62.91,8.15
3.34,11.01,8,4.33,0,7.66,4.33,0,26.99,29.97,1.67
0,17.72,1.5,8.45,14.54,0,0.62,0,54.69,15.7,0.61
2.12,46.72,2.49,11.46,23.15,1.56,6.71,0,53.48,22.27,6
3.1,26.49,5.27,17.95,31.19,1.3,5.12,0,65.37,16.39,14.01
0.86,8.38,1.22,5.93,22.13,1.17,7.09,0.27,45.03,13.27,2.09
2.56,17.51,6.65,15.17,22.75,3.61,9.44,0.29,38.47,11.98,3.15
7.58,3.69,16.67,8.53,32.37,12.43,31.36,1.55,4.78,49.62,8.23
1.54,16.9,2.81,11.72,21.58,1.32,1.19,0,72.84,15.93,2.55
2,29.07,6.31,7.12,48.23,4.15,31.43,0,48.66,0,8.62
0,7.81,2.61,1.92,19.41,0,27.02,0,68.54,0.9,3.07
3.89,24.29,7.62,2.72,34.17,7.66,17.99,0,83.11,1.6,4.73
0.33,17.1,0.96,3.51,12.02,0.67,13.34,0.49,89.94,4.82,2.06
0.33,14.27,0.85,0.32,13.72,0.26,19.34,0,59.18,0.43,2.74
0,23.1,1.61,2.36,14.76,1.2,20.25,0,98.46,0.33,3.99
0.31,9.5,2.42,1.82,14.11,4.43,16.28,0,79.44,2.97,3.09
