B,G,H,K,L,M,Q,S,T,V,Y
0,89.41,0,30.46,0,0,0,0.29,126.95,0,0.29
2.82,65.03,3.91,43.99,23.91,0.55,7.62,0.12,31.3,29.47,2.9
0,64.24,2.21,8.19,1.96,5.12,0.33,0.28,42.82,0.97,1.45
2.97,65.83,12.76,20.9,12.55,4.98,2.65,3.67,37.94,8.03,8.89
0.57,70.78,12.79,12.81,3.18,11.24,0,2.29,54.39,4.03,3.11
1.18,75.94,10.5,45.81,10.99,4.77,2.88,1.45,44.11,18.47,1.14
0.33,43.55,9.63,11.81,2.11,1.01,0.98,0.3,24.31,0,2.24
2.43,111.69,7.44,40.42,8.55,5.09,4.19,0.98,54.14,33.39,2.99
0,48.18,3.77,4.28,1.57,2.59,1.42,0.3,17.72,0,1.26
1.24,61.19,5.44,33.51,12.85,10,0.89,1.65,28.6,3.5,2.22
0,38.88,6.73,7.81,4.21,3.4,0.79,0.83,18.85,1.67,2.03
2.58,41.42,8.27,48.82,9.82,4.47,4.66,0.96,13.94,20.51,3.68
0,26.16,2.16,4.12,0.25,4.88,1.06,0.64,10.24,1.34,1.56
1.84,25.13,8.05,50.44,10.24,4.9,9.1,0.32,4.9,33.19,6.51
0,0.57,0,2.27,0,0.29,0,0,103.56,0,0
0,1.17,12.39,73.91,57.05,0,22.65,0,1.17,42.77,0.53
0.33,53.96,1.37,16.48,5.8,9.06,0.67,0,20.7,3.38,2.87
0.69,1.19,2.21,51.51,51.02,1.4,10.21,0.34,1.19,97.21,0.32
0,50.94,6.73,13.54,2.08,0.35,0,0.32,24.13,0.65,2.55
0,96.99,11.95,56.17,2.67,1.09,0.76,1.47,25.29,6.28,1.31
0,86.18,4.61,20.39,6.62,1.35,0.35,0,64.11,2.05,2.17
0.66,71.5,3.66,10.21,48.41,9.85,7.02,1.19,20.86,6.39,5.06
4.71,69.75,3.32,22.5,30.08,3.29,13.61,3.19,16.09,17,13.44
2.89,45.95,0.62,13.06,11.91,3.73,0.61,0.8,26.12,6.14,8.3
1.79,15.05,0.38,4.97,7.73,6.55,0.29,0,10.08,1.83,1.44
5.8,55.52,3.07,16.71,39.85,16.23,5.93,0,4.83,11.65,5.16
8.41,62.1,11.09,22.68,6.93,1.85,2.39,1.56,90.34,0.28,9.17
0,46.77,2.06,11.93,16.27,10.8,1.76,0,28.84,1.24,8.59
6.65,88.81,10.83,36.57,6.38,1.69,5.51,1.42,6.67,20.42,6.13
1.18,10.7,2.74,30.9,29.54,5.38,4.84,0.45,16.62,62.82,9.59
3.01,9.86,9,38.67,9.35,10.5,9.82,0.95,25.29,52.78,7.89
2.48,4.6,11.54,16.49,32.99,6.95,20.16,2.61,65.62,50.83,9.56
0,6.9,0.9,19,10.85,2.12,4.35,0.27,31.13,17.79,2
2.27,16.77,6.66,43.56,20.64,6.94,6.11,0,32.76,53.01,18.25
2.14,18.56,4.36,49.39,15.65,4.79,4.63,0,26.48,38.25,4.85
3.36,18.77,5.33,23.44,28.93,8.79,6.19,1.89,21.22,44.54,23.54
0.72,8.49,17.13,38.05,7.65,6.26,6.07,0.38,18.32,36.94,4.2
4.67,3.6,0.35,7.72,2.05,6.68,5.04,1.34,7.77,1.41,2.68
8.32,10.9,1.87,17,6.13,9.06,5.74,1.69,19.31,6.66,6.71
14.9,18.32,3.21,35.73,7.49,11.73,10.14,2.01,25.77,7.96,9.29
7.31,3.03,0,12.87,0.74,4.65,2.99,2.67,8.39,2,2.33
2,5.25,0.83,12.95,2.14,1.98,1,0.33,0.91,1.33,5.34
14.22,17.42,7.48,32.83,9.7,10.86,9.76,1.9,11.74,9.71,12.94
0,45.54,0.67,3.34,13.35,0.77,2.01,0.88,87.22,2.2,3.37
0,15.01,0,6.26,6.33,0.68,1.37,1.79,87.16,2.01,0.33
0.89,34.68,0.33,2,1.75,0.65,0.99,3.99,73.6,8.02,1.24
0,14.06,0.32,4.2,0.33,0,1.58,0.31,38.03,1.99,1.87
0,24.97,0,3.21,1.66,0,0.71,0,48.22,0.99,0.64
0.3,57.29,0.33,12.78,16.77,0.6,2.2,0.33,112.8,9.24,2.17
0,20.13,0,3.13,2.85,0.29,0.3,0,70.7,4.06,0.95
0,20.75,0,4.62,1.67,0.33,0.66,0,82.57,1,0
2.95,22.13,7.38,21.85,10.61,7.81,3.26,0.97,52.75,13.52,13.61
3,26.95,13.99,7.83,5.15,2.7,12.72,2.31,23.28,11.73,6.53
0,7.68,1.41,5.2,1.51,0.3,1.05,0.33,3.9,21.79,6.66
0,25,6.77,37.38,20.87,0.9,1.8,0,45.87,30.5,6.43
2.43,5.3,6.74,58.59,38.67,11.08,29.43,0.65,1.98,49.44,10.04
0.33,16.12,16.91,42.6,34.29,6.44,33.2,0.35,2.63,43.52,3.56
2.7,62.6,7.56,41.51,31.12,12.01,5.24,0,2.33,16.22,20.42
2.32,65.93,9.28,48.07,14.04,9.76,11.57,0,16.36,14.24,7.35
2.68,22.01,3.74,43.86,21.18,0.01,0.07,4.07,9.16,25.79,2.96
5.72,33.54,5.48,33.41,11.26,8.16,12.4,2.08,38.21,24.4,4.54
0.36,0.99,5.74,1.3,88.15,1.45,29.85,0,0.99,23.65,0.29
26.94,7.31,22.11,7.31,7.31,33.18,37.02,11.23,7.31,7.31,32.46
0,1.54,6.46,92.7,9.34,0,3.04,0.32,3.96,38.39,3.32
0.94,38.02,15.17,13.8,8.58,0,2.1,0,23.81,1.46,1.28
3.48,0.8,14.7,20.28,30.43,13.74,11.13,0.33,1.77,19.52,3.68
0,0.28,0.33,85.98,12.83,0,1.28,0,0.06,12.95,0
0.64,26.36,8.9,16.59,10.07,0.65,1.95,0,19.03,1.2,1.87
0,0.24,5.08,99.85,13.38,0,19.37,0,0.61,25.07,0.22
0,1.55,2.28,112.5,13.17,0.32,5.6,0,3.05,26.03,1.03
0.36,0,0.82,110.3,66.27,0.39,1.1,0,0,13.54,1
10.29,7.37,7.71,58.47,67.5,11.47,10.38,4.87,7.37,13.31,13.59
1.42,0,8.56,127.86,11.3,2.09,1.75,0,0,6.23,2.22
0.35,0.57,3.46,156.19,24.08,0.66,6.16,0,0.51,14.85,0.31
0,0,2.63,132.21,7.95,0,3.34,0,0,7.26,0.37
0,0,3.7,131.36,6.9,2.31,5.72,0,0.05,32.89,0
0,1.57,2.1,117.28,18.64,0.77,5.43,0,1.53,22.58,0.33
3.84,2.35,16.31,2.35,67.39,2.5,25.29,0.91,2.35,13.35,2.34
3.96,0.51,3.39,48.25,47.48,13.74,2.81,0.68,1.15,7.25,1.84
0,6.39,0.69,110.75,24.97,0,3.05,0,6.39,31.49,1.51
0,7.03,0,111.96,5.24,0,1.16,0,7.03,18.95,0
0.93,5.64,9.11,72.96,26.14,0.5,11.42,0,3.6,19.76,3.52
11.14,0.59,9.21,7.99,96.44,14.01,21.56,7.47,2.26,20.56,5.59
9.98,5.27,34.12,4.82,76.35,19.14,32.09,2.4,5.27,42.05,9.01
10.45,1.28,56.93,1.48,63.46,35.76,7.58,10.98,1.28,1.48,21.19
21.99,2.62,52.4,3.84,53.4,54.74,103.81,11,2.62,2.62,11.37
2.15,10.1,2.99,14,68.42,2.21,21.3,0.51,1.25,4.64,1.6
7.66,1.83,12.42,18.3,69.65,9.24,22.31,3.41,1.83,19.89,12.75
0.83,1.91,6.43,0.56,76.09,0.54,20.66,0,1.46,29.52,0.29
20.66,2.78,35.69,5.7,97.55,18.35,19.46,14.31,2.78,8.2,12.3
0,0.05,0,98.9,3.62,0,0,0,0,11,0
0,1.99,4.47,21.7,66.91,0,8.6,0,1.26,7.01,1.42
0,0.12,5.77,90.22,30.58,0.54,0.98,0,12.79,10.17,3.21
2.44,1.15,6.73,76.91,37.85,5.2,10.3,1.49,2.21,28.04,19.52
3.23,2.53,20,2.49,96.41,20.21,14.06,5.3,2.53,5.1,3.2
0.89,0.09,3.22,11.29,54.37,4.08,6.78,0.78,0,37.46,5
8.39,0.71,4.67,0.71,100.37,14.43,15.2,1.11,0.71,4.65,13.07
0,3.9,0.96,130.96,8.46,0,4.41,0,2.31,14.69,0.14
0,9.23,4.2,82.12,39.05,0.22,9.01,0.37,17.21,31.7,3.13
1.99,0.26,2.65,109.62,28.39,1.34,4.53,0.75,0.23,40.4,1.34
0.32,1.62,2.93,104.63,36.38,2.24,9.8,0,1.62,48,0.58
0,0.85,0.71,109.18,9.83,0,0,0,3.8,11.76,0
0,6.95,2.35,136.97,7.87,0.3,1.32,0,13.41,21.38,0.32
0.65,9.64,5.89,96.85,27.88,2.44,7.66,0.63,4.03,16.17,1.85
1.84,0.33,0,0,6.4,0.6,0,0,0.38,0,5.89
0,1.25,7.46,0,1.7,2.31,0,1.44,0.03,0,23.37
1.21,0.34,0.1,0.34,9.38,1.13,0.13,0,0.42,0.32,9.8
0.65,0,18.42,0,1.11,1.97,0.74,0,0,0,16.85
1.46,0.09,0.05,0.09,0.09,3.34,0.06,0.02,0.09,0.92,17.92
0.49,0.6,8.07,0.03,3.14,3.86,2.58,0,0.63,0,16.26
6.71,20.19,1.29,26.58,5.44,0.39,0.91,1,17.07,2.6,2
4.76,31.16,0.98,20.91,4.38,0,0.2,1.22,12.33,8.01,4.72
3.88,48.78,0,29.11,1.8,0,0.45,0.35,15.23,2.74,5.27
4.26,10.67,0,12.01,6.91,0,1.02,0,29.12,2.2,3.11
3.26,34.27,1.13,16.3,3.66,0,0.55,1.08,27.81,1.89,1.87
3.82,11.67,6.07,0.5,0.84,0.57,0,0.97,36.13,3.45,0.89
5.58,25.54,7.77,4.11,4.11,1.11,0.42,1.46,7.52,8.91,2.91
6.51,23.97,3.44,2.11,0,0,0,0.44,52.93,2.89,1.42
3.65,37.91,10.12,12.85,8.3,0.83,7.14,0.46,13.42,14.93,1.98
3.41,12.83,0.56,0,0,0,0.32,0.32,32.12,0,1.18
2.93,25.53,2.79,15.28,3.7,0.32,2.59,0,12.6,17.13,2.49
1.77,20.27,2.13,21.02,6.07,2.61,4.75,0,42.79,0,0.67
1.86,15.83,8.87,24.69,9.62,4.41,6.61,0,50.02,17.29,3.01
0,15.62,2.3,5.12,9.98,0.32,4.43,0,40.29,3.38,2.1
0,2.42,4.86,1.96,0.82,2.6,10.54,0,125.67,0.82,0.29
0.29,22.19,0.87,3.08,0.9,0,3.48,0,22.73,0.96,0.95
0,33.03,2.34,12.13,5,0,4.11,0,27.54,0.87,1.31
0.33,16.54,2.55,5.11,0.17,4.66,3.7,0.7,24.79,0.51,0.33
0,35.83,2.23,4.8,0,0.74,5.36,0,73.79,1.14,0.32
4.33,16.42,2.84,20.93,8.56,0.86,4.68,0,24.52,8.66,5.82
0,9.65,0,4.55,1.36,0,7.17,0,40.46,1.5,0.72
5.01,8.9,0.28,8.13,0,0,0,0.23,37.62,0.33,2.32
0.31,5.96,0.33,0.7,4.47,0.82,8.09,0,13.19,0.35,1.55
0,11.48,0.49,2.82,11.75,0.32,15.82,0,39.96,0.08,5.29
2.1,0.2,1.04,1.84,1.29,1.42,2.3,1.18,13.39,5.6,2.14
5.94,16.12,2.99,9.01,5.39,6.21,5.42,1.1,12.12,16.54,12.79
8.67,1.18,2.32,0.15,20.39,7.26,8.65,2.99,0.77,3.91,4.88
21.64,20.41,15.69,21.38,17.25,3.63,11.55,0.45,36.13,17.51,23
4.49,7.49,0.44,1.78,2.86,0,2.59,0,2.54,0.67,7.69
3.59,27.93,10.94,11.36,24.81,4.62,7.44,6.76,14.99,6.68,16.88
2.73,4.38,2.34,9.01,8.75,2.93,2.5,1.47,5.97,3.17,2.85
2.38,2.18,2.14,5.29,7.85,0.47,6.62,1.46,2.14,2.07,7.26
5.99,4.72,2.86,1.34,4.72,2.09,7.1,0.36,10.74,4.24,6
0.46,18.18,2.11,13.05,6.34,1.27,4.12,2.11,13.89,1.64,3.3
5.59,24.47,3.97,19.23,10.79,4.5,7.08,3.45,16.01,7.43,6.78
6,6.61,0.65,0.02,4.51,0.33,6.38,0,7.27,3.86,5.17
3.25,9.98,3.71,7.27,2.76,1.66,0.66,0.26,27.17,2,2.44
2.74,8.28,1.69,2.86,1.88,0.82,1.28,1.07,4.64,1.71,3.79
4.84,10.68,2.97,3.35,5.53,0.95,3.41,0.33,16.24,0.68,4.9
3.86,8.24,1.24,0.81,3.43,0.28,4.58,0,6.41,4.38,7.99
4.25,6.24,0,0.31,3.6,1.66,1.87,1,1.66,0.33,5.82
3.02,10.98,2.64,1.62,5,0,2.81,1.09,3.27,1.14,2.83
13.66,6.25,0.33,6.22,1.28,0.33,4.79,0,3.04,3.26,8.79
16.05,6.13,0.98,1.71,1.53,0.57,2.3,0.29,28.92,0.32,2.95
4.03,13.11,2.18,6.28,4.23,0.61,4.83,0.69,35.15,4.5,5.92
5.61,10.5,0.32,0.88,7.34,0.98,4.32,0,15.53,4.09,1.62
8.56,2.55,3.72,0.64,6.72,0,3.76,0.56,2.71,1.25,4.84
1.98,3.22,0,0.33,0.64,0,0.96,0,0.98,1.28,5.46
2.54,6.46,0.57,1.39,2.7,0,1.75,0.32,11.83,1.94,4.47
9.06,9.7,0.94,1.05,2.51,0.67,8.75,0,13.96,0.33,5.1
4.82,15.05,0.01,3.07,2.24,0.4,4.31,0.4,9.95,3.16,7.75
3.92,11.35,3.5,9.09,3.43,5.78,5.77,0.71,11.48,29.7,3.26
5.7,8.72,1.78,3.71,8.49,0.22,4.96,0,24.49,1.6,7.36
4.08,1.76,1.32,2.32,0.33,3.69,0.33,1.33,11.54,3.36,2.69
0,24.76,0,7.97,1.66,5.66,1.52,0,33.74,1.9,0
0.33,25.81,0.66,4.8,2.88,8.64,2.3,0,25.87,3.68,3.97
0,16.23,0.33,2.98,0.99,7.98,0.33,0,20.49,2.32,0
0.33,29.71,0.48,7.28,2.42,7.22,1.32,0,21.88,0.66,4.63
2.85,6,0.28,4.61,7.3,2.71,3.33,1.34,8.77,0.61,2.48
2.67,4.91,2.82,7.61,2.71,0.64,0.33,0.66,4.11,3.36,0.95
3.24,5.26,1.72,1.93,1.97,0.99,1.33,2.99,24.03,0.95,1.6
2.38,5.95,1.46,3.35,3.19,2.56,1.63,0.3,2.52,0.35,1.82
0.67,9.2,0,3.66,6.94,5.68,2.01,0.67,3,4.84,1.98
2.92,6.08,0.67,6.64,19.19,7.1,4.98,1.36,11.42,3.45,12.52
3.28,5.65,3.67,6.47,9.91,2.95,3.81,1.25,9.8,6.71,2.84
22.52,14.02,16.14,13.34,21.13,4.21,18.21,3.4,23.09,16.81,35.7
1.63,13.06,6.39,8.57,11.3,0.6,2.41,0.33,10.04,2.69,2.64
0.68,6.79,9.52,5.84,15.91,3.97,3.25,1.09,4.52,4.84,4.51
5.26,1.17,14.25,2.27,10.93,13.48,4.97,1.72,5.39,7.27,3.24
1.69,8.35,6.55,7.54,15.21,5.8,6.77,1.36,2,2.46,3.68
3.36,8.52,1.53,1.75,8.64,3.11,1.98,0.33,5.13,2.7,2.96
1.84,6.4,8.9,2.44,15.24,8.34,4.14,1.52,11.44,5.31,2
2.78,2.83,0.87,9.33,10.63,4.67,2.8,1.7,3.53,6.46,5.49
1.77,23.43,6.27,13.37,12.71,1.84,6.12,0.02,9.54,5.06,14.37
7.05,0.63,1.33,5.13,7.86,5.53,0.99,1,0,1.33,6.04
6.95,18.84,2.32,10.94,14.83,8.29,15.59,3.05,30.44,5.85,9.19
3.15,0.01,1.23,2.67,4.26,3.22,0.67,2.2,1.37,1.76,3.84
4.73,14.3,5.72,10.12,15,5.38,1.24,1.72,24.27,6.52,5.18
2.89,5.9,3.49,12.29,16.76,5.09,4.88,0.64,7.59,3.06,12.49
3.86,4.9,0.89,6.43,5.29,3.44,1.23,0.58,9.05,3.35,5.57
3.26,6.46,0.61,1.6,12.33,4.34,1.44,2.79,8.58,5.52,9.47
3.84,5.07,0.99,3.79,6.72,4.85,0.96,0.57,15.06,0.99,3.74
2.41,2.54,1.1,1.3,7.26,4.04,6.77,1.65,3.08,0.84,5.4
2.92,2.4,0,3.26,4.25,2.05,0.9,1.21,0.3,0.65,2.69
0,2.03,0,1.62,2.32,0,4.67,0.91,10.91,3.56,5.63
0,2.76,1.23,0.35,4.66,0.34,2.16,2,12.97,4.38,4.62
0,4.1,0.33,3.84,0.67,0,14.68,4.34,19.07,0.67,8.37
0.33,4.23,0,4.21,4.32,0.79,6.11,2.03,16.85,2,2.96
1.24,19.59,0.33,0.71,1.67,0,4.51,1.49,14.41,1.47,3.15
0.37,3.61,0,0.33,2.48,0.61,4.95,2.66,11.98,0,2.92
10.63,23.12,0.96,1.19,6.25,0.99,7.16,0.27,15.02,1.08,4.9
10.08,9.37,1.25,1.71,4.93,0.42,8.01,0,7.43,2.84,3.79
3.6,1.41,2.32,0.31,2.65,1.05,4.27,0.82,6.68,0.6,7.38
4.27,12.81,0.97,3.01,5.33,0.84,5.71,0.53,10.95,7.71,6
5.5,4.57,2.11,21.76,6.41,5.01,6.54,2.36,5.84,3.25,2.06
3.05,5.41,1.2,1.69,3.25,2.01,2.87,1.29,7.21,14.63,2.9
2.35,4.26,1.94,2.59,4.45,1.12,1.86,0,0.52,1.06,7.35
10.53,0.06,3.12,17.54,9.45,38.08,14.04,6.41,2.53,0.35,10.45
3.35,0,0,3.71,0,4.74,1.32,1.33,1.02,3.67,4.44
4.37,3.49,1.13,17.39,2.61,9.47,6.4,1.57,1.31,0.67,1.77
1.23,0,2.67,7.76,0,1.86,2,0.67,0,2,1.87
4.32,3.69,2.22,26.16,5.7,10.19,4.24,1.49,6.47,1.46,5.86
5.2,14.74,0.32,1.19,8.29,1.06,4.85,0.72,1.67,15.25,5.56
2.81,10.43,2.09,5.1,2.93,5.92,6.35,1.65,10.94,27.21,2.52
3.76,0.56,0.47,2.5,1.02,1.38,2.06,0.04,1.88,3.72,2.55
4.19,6.53,4.1,7.21,2.48,2.96,4.49,0.77,16.43,10.44,4.6
3.74,6.21,0.32,3.14,3.11,2.33,3.33,0,5.35,4.34,3.31
1.34,0,3,0,0,0,4,1.33,0,13.36,0.33
6.11,40.05,22.61,19.67,3.99,10.19,9.38,0,7.6,6.45,12.1
0.33,7.68,8,7.58,1.34,5.72,5.53,0,18.31,2.91,0.98
5.18,0.44,13.37,0.44,2.37,5.57,2.15,1.6,2.11,14.24,0.94
4.65,11.79,1.66,4.34,3.53,2.78,4.66,0,6.54,3.53,4.19
27.5,19.96,23.61,13.47,24.31,2.04,4.87,3.13,8.29,11.42,31.16
2.98,1.92,0.29,0.29,2.23,0.31,2.23,0,2.68,0.44,3.87
1.28,2.59,1.13,6.27,2.24,0.79,4.01,0.3,3.85,3.11,1.97
3.6,3.68,1.87,1.07,0.33,2.8,17.66,3.78,1.28,3.98,2.84
3.55,6.97,0,2.57,3.28,1.99,2.73,0,9.39,0.67,3.26
5.65,0.01,0,9.7,2.67,7.19,5.98,2.33,0.04,0,4.67
5.85,0.9,1.06,15.28,2.1,5.96,2.31,1.82,7.83,1.3,5.51
3,9.79,0,6.16,0.33,5.67,0,0.33,9.88,0,2.99
3.67,8.15,0.66,4.66,0,4.99,0.43,0.33,15.35,0.68,8.6
3.12,0.03,2.12,0.02,0.02,1.79,1.82,0.02,0.36,5.67,4.46
4.2,9.13,3.5,2.58,3.19,0.61,5.37,0.66,21.7,14.62,12.25
0.59,4.96,0,1.53,5.38,3.38,1.54,1.53,2.28,1.89,1.98
8.84,10.76,2,5.3,5.03,11.35,8.49,0.26,9.47,35.83,11.66
2.12,7.48,2.35,4.15,3.99,2.54,5.27,1.01,8.84,11.54,2.6
5.76,1.99,2.77,6,4.37,0.67,0.76,0,6.89,1.32,2.35
1.66,2.53,3.82,5,0,0.43,0.66,0,2.28,1.1,5.41
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.33,0,0,0,0,0,0,0.67
3.74,24.8,22.04,31.72,17.07,4.33,5.52,0.22,10.85,20.96,8.36
3.51,0.34,5.3,2.28,3.58,0,0.25,0,1.02,0.39,1.02
3.44,7.26,6.17,10.15,5.23,0,0.82,0.33,4.63,0.99,3
4.52,0,7.49,0,0,3.97,0,2.94,0.33,1.91,3.07
2.36,1.49,2.95,5.99,3.56,0,0.47,0,4.19,1.2,2.88
3.57,0.03,13.3,0.03,0,4.2,0,4.54,1.36,0.33,0.99
2.86,2.41,5.53,16.5,11.45,1.09,2.97,0,6.58,7.03,7.95
1.68,7.6,3,12.74,3.62,0.02,0.4,0.02,2.95,2.23,3.56
3.42,8.9,2.21,1.7,3.99,4.27,9.62,2.94,34.68,4.63,4.66
7.21,12.85,1.89,10.65,7.95,7.82,0.33,2.72,12.84,1.62,4.64
4.04,1.75,1.59,8.48,1.15,2.72,5.07,1.59,10.52,0.65,1.37
1.36,7.33,0.51,6.3,11.27,2.06,4.68,1.18,1.89,3,4.82
7.61,0,2.15,10.81,2.32,3.14,3.6,0.89,26.34,3.71,2.87
0.32,6.14,0,1.34,2.31,0.83,0.32,1.48,1.36,0,1.67
1.6,12.8,0.33,4.37,5.66,0.66,2.19,1.54,6.15,0.66,4.26
5.34,0,0,6.68,1,6.99,2.67,2.33,0,0,2.31
4.79,28.71,1.56,21.44,5.26,4.55,5.4,4.98,23.4,8,7.93
2.8,6.81,1.09,3.6,5.47,2.24,1.65,0.8,16,1.51,1.94
7.57,13.34,2.07,33.28,7.46,9.54,14.92,5.43,7.45,6.43,7.95
4.67,2.91,0.61,8.77,1.94,4.81,6.73,0,4.98,1.35,4.06
4.58,2.91,1.07,20.04,4.87,5.72,4.96,3.61,5,4.96,13.32
1.84,5.81,0.35,5.55,10.88,2.22,4.29,1.55,4.35,2.26,6.53
1.94,2.29,0.3,1.21,6.99,0.45,1,0.96,4.68,6.23,4.83
24.02,29.51,14.12,15.72,31.25,4.96,7.48,5.43,11.39,9.56,34.93
4.69,2.12,0.33,8.39,3.7,5.69,2.03,2.99,2.99,1.67,4.66
4.32,4.71,1.59,8,3.2,5,1.97,3.09,5.85,2.11,5.92
8.99,18.85,4.37,15.33,24.63,0.01,4.25,0,4.1,11.04,14.7
4.39,5.02,5.93,13.15,0.88,0,0.33,0,0.16,9.07,2.51
8.2,16.95,2.33,19.23,4.65,0.05,2.79,0.04,5.48,9.22,3.68
2.2,0.54,0.6,3.61,1.6,0.82,1.25,2.72,1.31,0.6,2.15
0.79,18.24,1.07,16.91,5.75,2.91,4.77,3.45,24.3,14.92,5.41
1.67,3.67,1.02,4.19,11.54,1.33,5.73,1.21,2.27,3.36,2.93
1.24,12.63,0.71,2.36,4.84,0,2.82,0.33,10,0.02,2.27
5.57,1.61,2.04,12.63,7.55,4.22,2.62,1.87,0.33,4.5,4.16
8.48,6.31,4.88,46.45,13.65,8.67,23.21,4.56,3.69,11.97,16.42
4.67,1.84,0,11.65,0.33,9.05,4.33,1.33,0,0.99,4.32
6.97,1.95,1.6,0,1,6.67,12.95,6.01,0.69,1.17,5.09
2.41,3.1,0,3.6,1.76,2.96,3.25,1.47,3.93,1,4.49
8.94,15.55,2.84,9.26,5.5,3.64,10.03,1.78,9.01,8.45,12.47
0.33,9.14,0,4.3,3.34,2.15,5.92,0.65,4.44,3.87,2.98
5.37,7.06,4.06,5.2,5.34,3.38,12.5,3.68,9.27,2.46,6.65
4.5,7.45,3.07,1.93,3.77,4.02,14,2.1,9.31,1.33,3.22
2.82,7.03,2.27,4.44,2.76,5.63,4.94,0.98,5.05,7.8,6.76
7.11,4.69,7.92,3.64,9.62,4.11,7.82,3.26,4.64,7.68,5.71
6.82,18.95,10.84,8.35,8.58,7.79,12.06,0.26,13.95,4.71,6.22
7.58,0.39,0.68,1.03,1.33,3.33,5.29,6.88,0.19,2.55,5.31
6.57,28.2,5.7,10.98,25.11,8.07,23.34,6.62,6.82,10.15,13.57
2.88,8.37,1.57,0.34,3.23,4.13,1.99,0.67,2.47,0.01,5.33
3.86,7.28,1.43,0.53,2.73,4.32,5.51,1.54,4.62,1.56,3.05
3.94,8.2,2.77,8.23,1.35,6.79,8.62,3.95,1.23,1.35,4.24
6.6,17.5,1.31,5.41,2.96,5.59,1.36,0.83,13.44,5.71,2.73
2.62,5.16,3.35,2.55,2.8,2.89,7.22,3.11,12.08,1.74,4.07
12.54,19.13,0.33,4.82,6.27,8.52,0,1.4,6.73,0.66,1.12
3.75,7.19,0,2.52,7.46,0.67,1.9,0,0.69,1.28,1.61
0,0,0,0,0,0,0,0,0,0,0
3.65,1.75,0,1.27,5.22,1.21,3.46,1,0.89,0.41,5.42
1.98,5.26,2.3,4.99,3.88,3.33,4.83,1.98,7.42,1.35,4.31
0,0,0,0,0,0,0,0,0,0,0
4.42,4.16,2.95,3.75,5.12,3.22,5.26,1.82,3.98,2.07,4.35
2.99,3.58,1.28,0.33,5.37,1.66,6.38,1.67,5.91,11.63,3.8
5.33,1.85,1.08,1.61,3.56,1.76,13.94,2.11,3.25,1.25,3.8
0,0,0,0.99,0,0,0,0,0,0,0
6.51,17.88,3.53,23.66,4.81,3.72,10.75,1.04,22.64,6.7,12.04
1.72,14.36,9.73,12.08,18.13,7.11,4.45,1.98,10.97,5.83,2.92
2.57,0,14.23,2.57,11.51,14,10.25,1,0,0.29,5.65
3.72,8.77,4.61,32.7,9.54,1.51,8.12,0.56,17.12,7.21,9.85
4.33,2.11,0,2.98,1,3.33,4.07,0.33,2,0,3.66
2.64,27.66,7.47,12.27,9.22,8.97,2.53,1.29,27.1,3.4,4.54
0.81,4.56,4.91,6.91,1.8,1.81,2.1,0.33,3.92,3.94,0.85
1.99,7.2,2.35,1.33,2.87,1.86,4.46,2,5.51,3.08,3.57
9.94,12.17,5.31,12.59,7.22,10.03,23.54,9.26,19.78,10.68,11.71
6.32,10.84,2.58,3.71,2.96,5.3,13.93,5.64,3.31,4.38,5.12
11.36,7.59,2.19,6.96,4.48,3.13,29.72,2.87,9.04,5.86,14.4
4.64,5.5,0,0.32,0.91,0,1.25,0,20.79,0.29,2.66
6.1,12.33,2.93,9.33,8.31,1.45,12.31,3.28,36.77,4.79,7.56
11.42,4.49,0.33,0.32,2.31,0,3.64,0.57,17.9,0,1.23
9.06,10.03,1.93,8.44,2.45,2.78,8.7,3.05,49.59,6.01,6.88
5.85,8.39,1.3,3.22,3.78,0.33,2.21,1.76,25.76,0.96,3.23
10.63,3.82,1.34,2.51,1.85,2.73,4.48,1.15,48.31,1.66,2.69
5.22,4.84,0,0,2.65,0.45,3.04,0.87,22.09,0.32,1.22
12.74,5.58,0.34,1.21,1.32,0,4.84,1.82,27.8,1.38,3.82
6.42,3.19,0,0,0,0,1.23,0.57,24.17,1.14,0.87
4.13,10.7,3,5.63,3.97,0.3,5.81,1.42,50.62,4.79,2.17
4.62,1.22,2,11.58,3.92,6.09,7.67,3.05,5.63,0.66,5.12
3.28,0,0.48,21.02,2.33,6.56,7.16,2.2,1.18,1.67,2.69
7.4,5.15,4.54,16.2,14.83,9.67,5.99,1.66,13.5,11.09,7.07
0,23.74,4.51,14.5,0.97,0.65,5.16,0,10.06,5.06,0.62
4.24,17.57,1.76,29.47,5.53,3.85,2.72,2.28,29.48,17.48,8.42
14,0,0.67,11.98,2,10.66,6.99,2.66,0,0.33,14.67
0.26,14.61,7.19,9.07,2.68,1.13,5.94,0,5.9,0,2.66
6.33,0,0.33,6.33,8.99,8.65,4.99,3.66,1.34,0,10.34
1.26,5.62,7.21,13.64,19.71,1.6,4.42,1.49,2.63,10.12,6.5
1.98,19.75,2.75,5.51,19.28,0.39,4.67,3,4.41,11.71,2.6
2.6,0.25,1.32,4.47,2.09,0,1.2,0.73,0.32,2.3,3.03
2.3,36.27,0.33,14.25,14.07,1.22,6.1,1.15,9.46,13.41,3.5
0.86,2.65,0.33,6.12,4.39,0.93,1.41,0,2.07,3.22,2.02
0.33,6.75,0,5.13,19.37,0,2.81,0.78,7.51,3.59,0.57
