,O,D,Sum,market_share,transfort
0,0.0,2.0,2.29,0.404173825,1.0
1,0.0,2.0,2.0700000000000003,0.404173825,1.0
2,0.0,2.0,0.66,0.404173825,1.0
3,0.0,2.0,0.0,0.404173825,1.0
4,0.0,2.0,13.120000000000001,0.404173825,1.0
5,0.0,2.0,3.67,0.404173825,1.0
6,0.0,2.0,2.0,0.404173825,1.0
7,0.0,2.0,0.0,0.404173825,1.0
8,0.0,2.0,0.33,0.404173825,1.0
9,0.0,2.0,3.37,0.404173825,1.0
10,0.0,2.0,6.3,0.404173825,1.0
11,0.0,2.0,1.69,0.404173825,1.0
12,0.0,2.0,0.0,0.404173825,1.0
13,0.0,2.0,0.66,0.404173825,1.0
14,0.0,2.0,0.0,0.404173825,1.0
15,0.0,2.0,14.47,0.404173825,1.0
16,0.0,2.0,11.100000000000001,0.404173825,1.0
17,0.0,2.0,1.0,0.404173825,1.0
18,0.0,2.0,0.0,0.404173825,1.0
19,0.0,2.0,0.33,0.404173825,1.0
20,0.0,2.0,0.66,0.404173825,1.0
21,0.0,2.0,4.300000000000001,0.404173825,1.0
22,0.0,66.0,0.0,0.9980765090000001,2.0
23,0.0,66.0,0.0,0.9980765090000001,2.0
24,0.0,66.0,0.33,0.9980765090000001,2.0
25,0.0,66.0,0.0,0.9980765090000001,2.0
26,0.0,66.0,0.0,0.9980765090000001,2.0
27,0.0,66.0,0.0,0.9980765090000001,2.0
28,0.0,66.0,0.0,0.9980765090000001,2.0
29,0.0,66.0,0.0,0.9980765090000001,2.0
30,0.0,66.0,0.66,0.9980765090000001,2.0
31,0.0,66.0,0.0,0.9980765090000001,2.0
32,0.0,66.0,0.0,0.9980765090000001,2.0
33,0.0,66.0,0.0,0.9980765090000001,2.0
34,0.0,66.0,0.0,0.9980765090000001,2.0
35,0.0,66.0,0.0,0.9980765090000001,2.0
36,0.0,66.0,0.0,0.9980765090000001,2.0
37,0.0,66.0,0.0,0.9980765090000001,2.0
38,0.0,66.0,0.0,0.9980765090000001,2.0
39,0.0,66.0,0.67,0.9980765090000001,2.0
40,0.0,66.0,0.0,0.9980765090000001,2.0
41,0.0,66.0,0.0,0.9980765090000001,2.0
42,0.0,66.0,0.0,0.9980765090000001,2.0
43,0.0,66.0,0.0,0.9980765090000001,2.0
44,0.0,66.0,0.0,0.9980765090000001,2.0
45,0.0,66.0,0.0,0.9980765090000001,2.0
46,0.0,66.0,0.0,0.9980765090000001,2.0
47,0.0,66.0,0.0,0.9980765090000001,2.0
48,0.0,66.0,2.33,0.9980765090000001,2.0
49,0.0,66.0,0.0,0.9980765090000001,2.0
50,0.0,66.0,0.0,0.9980765090000001,2.0
51,0.0,66.0,0.0,0.9980765090000001,2.0
52,0.0,66.0,0.33,0.9980765090000001,2.0
53,0.0,66.0,0.0,0.9980765090000001,2.0
54,0.0,66.0,0.0,0.9980765090000001,2.0
55,0.0,66.0,0.0,0.9980765090000001,2.0
56,0.0,66.0,0.0,0.9980765090000001,2.0
57,0.0,66.0,0.0,0.9980765090000001,2.0
58,0.0,66.0,0.0,0.9980765090000001,2.0
59,0.0,66.0,1.6600000000000001,0.9980765090000001,2.0
60,0.0,66.0,0.0,0.9980765090000001,2.0
61,0.0,66.0,0.0,0.9980765090000001,2.0
62,0.0,66.0,0.0,0.9980765090000001,2.0
63,0.0,66.0,0.0,0.9980765090000001,2.0
64,0.0,66.0,0.0,0.9980765090000001,2.0
65,0.0,66.0,0.0,0.9980765090000001,2.0
66,0.0,66.0,0.0,0.9980765090000001,2.0
67,0.0,66.0,0.0,0.9980765090000001,2.0
68,0.0,66.0,0.5,0.9980765090000001,2.0
69,0.0,66.0,0.0,0.9980765090000001,2.0
70,0.0,66.0,1.5,0.9980765090000001,2.0
71,0.0,66.0,0.0,0.9980765090000001,2.0
72,0.0,66.0,0.0,0.9980765090000001,2.0
73,0.0,66.0,0.0,0.9980765090000001,2.0
74,0.0,66.0,0.0,0.9980765090000001,2.0
75,0.0,66.0,0.0,0.9980765090000001,2.0
76,0.0,66.0,1.0,0.9980765090000001,2.0
77,2.0,0.0,4.66,0.383225539,1.0
78,2.0,0.0,0.0,0.383225539,1.0
79,2.0,0.0,0.33,0.383225539,1.0
80,2.0,0.0,0.67,0.383225539,1.0
81,2.0,0.0,10.98,0.383225539,1.0
82,2.0,0.0,2.33,0.383225539,1.0
83,2.0,0.0,3.33,0.383225539,1.0
84,2.0,0.0,0.0,0.383225539,1.0
85,2.0,0.0,1.0,0.383225539,1.0
86,2.0,0.0,1.0,0.383225539,1.0
87,2.0,0.0,16.009999999999998,0.383225539,1.0
88,2.0,0.0,1.7200000000000002,0.383225539,1.0
89,2.0,0.0,0.04,0.383225539,1.0
90,2.0,0.0,0.36000000000000004,0.383225539,1.0
91,2.0,0.0,0.34,0.383225539,1.0
92,2.0,0.0,12.14,0.383225539,1.0
93,2.0,0.0,3.06,0.383225539,1.0
94,2.0,0.0,2.96,0.383225539,1.0
95,2.0,0.0,0.0,0.383225539,1.0
96,2.0,0.0,0.37,0.383225539,1.0
97,2.0,0.0,1.17,0.383225539,1.0
98,2.0,0.0,9.83,0.383225539,1.0
99,2.0,3.0,0.0,0.259807794,2.0
100,2.0,3.0,0.0,0.259807794,2.0
101,2.0,3.0,0.0,0.259807794,2.0
102,2.0,3.0,0.0,0.259807794,2.0
103,2.0,3.0,0.66,0.259807794,2.0
104,2.0,3.0,0.0,0.259807794,2.0
105,2.0,3.0,0.0,0.259807794,2.0
106,2.0,3.0,0.0,0.259807794,2.0
107,2.0,3.0,0.0,0.259807794,2.0
108,2.0,3.0,0.0,0.259807794,2.0
109,2.0,3.0,0.0,0.259807794,2.0
110,2.0,3.0,0.0,0.259807794,2.0
111,2.0,3.0,0.0,0.259807794,2.0
112,2.0,3.0,0.0,0.259807794,2.0
113,2.0,3.0,0.79,0.259807794,2.0
114,2.0,3.0,1.3,0.259807794,2.0
115,2.0,3.0,0.0,0.259807794,2.0
116,2.0,3.0,0.0,0.259807794,2.0
117,2.0,3.0,0.0,0.259807794,2.0
118,2.0,3.0,0.0,0.259807794,2.0
119,2.0,3.0,0.33,0.259807794,2.0
120,2.0,3.0,0.33,0.259807794,2.0
121,2.0,4.0,0.0,0.341013375,2.0
122,2.0,4.0,0.0,0.341013375,2.0
123,2.0,4.0,0.0,0.341013375,2.0
124,2.0,4.0,0.34,0.341013375,2.0
125,2.0,4.0,0.0,0.341013375,2.0
126,2.0,4.0,0.0,0.341013375,2.0
127,2.0,4.0,0.0,0.341013375,2.0
128,2.0,4.0,0.0,0.341013375,2.0
129,2.0,4.0,0.12000000000000001,0.341013375,2.0
130,2.0,4.0,0.0,0.341013375,2.0
131,2.0,4.0,0.32,0.341013375,2.0
132,2.0,6.0,4.3500000000000005,0.849172178,1.0
133,2.0,6.0,0.33,0.849172178,1.0
134,2.0,6.0,15.170000000000002,0.849172178,1.0
135,2.0,6.0,1.67,0.849172178,1.0
136,2.0,6.0,11.68,0.849172178,1.0
137,2.0,6.0,6.55,0.849172178,1.0
138,2.0,6.0,2.67,0.849172178,1.0
139,2.0,6.0,0.0,0.849172178,1.0
140,2.0,6.0,0.7000000000000001,0.849172178,1.0
141,2.0,6.0,0.66,0.849172178,1.0
142,2.0,6.0,17.580000000000002,0.849172178,1.0
143,2.0,6.0,1.54,0.849172178,1.0
144,2.0,6.0,0.03,0.849172178,1.0
145,2.0,6.0,13.309999999999999,0.849172178,1.0
146,2.0,6.0,0.03,0.849172178,1.0
147,2.0,6.0,30.409999999999997,0.849172178,1.0
148,2.0,6.0,10.579999999999998,0.849172178,1.0
149,2.0,6.0,16.75,0.849172178,1.0
150,2.0,6.0,0.0,0.849172178,1.0
151,2.0,6.0,0.05,0.849172178,1.0
152,2.0,6.0,0.03,0.849172178,1.0
153,2.0,6.0,25.91,0.849172178,1.0
154,2.0,6.0,3.09,0.849172178,1.0
155,2.0,6.0,0.7100000000000001,0.849172178,1.0
156,2.0,6.0,5.04,0.849172178,1.0
157,2.0,6.0,0.0,0.849172178,1.0
158,2.0,6.0,11.95,0.849172178,1.0
159,2.0,6.0,8.17,0.849172178,1.0
160,2.0,6.0,1.0,0.849172178,1.0
161,2.0,6.0,0.0,0.849172178,1.0
162,2.0,6.0,1.9700000000000002,0.849172178,1.0
163,2.0,6.0,1.77,0.849172178,1.0
164,2.0,6.0,11.19,0.849172178,1.0
165,2.0,7.0,0.0,0.7220044440000001,2.0
166,2.0,7.0,0.0,0.7220044440000001,2.0
167,2.0,7.0,0.0,0.7220044440000001,2.0
168,2.0,7.0,0.0,0.7220044440000001,2.0
169,2.0,7.0,0.0,0.7220044440000001,2.0
170,2.0,7.0,0.0,0.7220044440000001,2.0
171,2.0,7.0,0.0,0.7220044440000001,2.0
172,2.0,7.0,0.0,0.7220044440000001,2.0
173,2.0,7.0,0.0,0.7220044440000001,2.0
174,2.0,7.0,0.0,0.7220044440000001,2.0
175,2.0,7.0,0.23,0.7220044440000001,2.0
176,2.0,7.0,0.0,0.7220044440000001,2.0
177,2.0,7.0,2.75,0.7220044440000001,2.0
178,2.0,7.0,0.0,0.7220044440000001,2.0
179,2.0,7.0,0.0,0.7220044440000001,2.0
180,2.0,7.0,0.0,0.7220044440000001,2.0
181,2.0,7.0,0.6,0.7220044440000001,2.0
182,2.0,7.0,0.0,0.7220044440000001,2.0
183,2.0,7.0,0.0,0.7220044440000001,2.0
184,2.0,7.0,0.0,0.7220044440000001,2.0
185,2.0,7.0,0.0,0.7220044440000001,2.0
186,2.0,7.0,0.29,0.7220044440000001,2.0
187,2.0,7.0,0.0,0.7220044440000001,2.0
188,2.0,7.0,1.08,0.7220044440000001,2.0
189,2.0,7.0,0.0,0.7220044440000001,2.0
190,2.0,7.0,0.0,0.7220044440000001,2.0
191,2.0,7.0,0.23,0.7220044440000001,2.0
192,2.0,7.0,0.3,0.7220044440000001,2.0
193,2.0,7.0,0.0,0.7220044440000001,2.0
194,2.0,7.0,0.0,0.7220044440000001,2.0
195,2.0,7.0,0.0,0.7220044440000001,2.0
196,2.0,7.0,0.81,0.7220044440000001,2.0
197,2.0,7.0,0.0,0.7220044440000001,2.0
198,2.0,8.0,0.32,0.971710172,2.0
199,2.0,8.0,0.0,0.971710172,2.0
200,2.0,8.0,0.0,0.971710172,2.0
201,2.0,8.0,0.0,0.971710172,2.0
202,2.0,8.0,0.32,0.971710172,2.0
203,2.0,8.0,0.0,0.971710172,2.0
204,2.0,8.0,0.0,0.971710172,2.0
205,2.0,8.0,0.0,0.971710172,2.0
206,2.0,8.0,0.0,0.971710172,2.0
207,2.0,8.0,0.0,0.971710172,2.0
208,2.0,8.0,0.32,0.971710172,2.0
209,2.0,8.0,0.0,0.971710172,2.0
210,2.0,8.0,0.0,0.971710172,2.0
211,2.0,8.0,0.37,0.971710172,2.0
212,2.0,8.0,0.0,0.971710172,2.0
213,2.0,8.0,1.01,0.971710172,2.0
214,2.0,8.0,0.0,0.971710172,2.0
215,2.0,8.0,0.0,0.971710172,2.0
216,2.0,8.0,0.0,0.971710172,2.0
217,2.0,8.0,0.0,0.971710172,2.0
218,2.0,8.0,0.0,0.971710172,2.0
219,2.0,8.0,0.0,0.971710172,2.0
220,2.0,8.0,0.0,0.971710172,2.0
221,2.0,8.0,0.0,0.971710172,2.0
222,2.0,8.0,0.0,0.971710172,2.0
223,2.0,8.0,0.0,0.971710172,2.0
224,2.0,8.0,0.0,0.971710172,2.0
225,2.0,8.0,0.0,0.971710172,2.0
226,2.0,8.0,0.27,0.971710172,2.0
227,2.0,8.0,0.0,0.971710172,2.0
228,2.0,8.0,0.0,0.971710172,2.0
229,2.0,8.0,0.0,0.971710172,2.0
230,2.0,8.0,0.0,0.971710172,2.0
231,2.0,8.0,0.0,0.971710172,2.0
232,2.0,8.0,0.05,0.971710172,2.0
233,2.0,8.0,0.0,0.971710172,2.0
234,2.0,8.0,0.03,0.971710172,2.0
235,2.0,8.0,0.41000000000000003,0.971710172,2.0
236,2.0,8.0,0.0,0.971710172,2.0
237,2.0,8.0,0.35,0.971710172,2.0
238,2.0,8.0,0.0,0.971710172,2.0
239,2.0,8.0,0.05,0.971710172,2.0
240,2.0,8.0,0.03,0.971710172,2.0
241,2.0,8.0,0.0,0.971710172,2.0
242,2.0,8.0,0.0,0.971710172,2.0
243,2.0,8.0,0.04,0.971710172,2.0
244,2.0,8.0,0.0,0.971710172,2.0
245,2.0,8.0,0.02,0.971710172,2.0
246,2.0,8.0,0.43,0.971710172,2.0
247,2.0,8.0,0.0,0.971710172,2.0
248,2.0,8.0,0.0,0.971710172,2.0
249,2.0,8.0,0.0,0.971710172,2.0
250,2.0,8.0,0.07,0.971710172,2.0
251,2.0,8.0,0.02,0.971710172,2.0
252,2.0,8.0,0.0,0.971710172,2.0
253,2.0,9.0,0.0,0.88811751,2.0
254,2.0,9.0,0.73,0.88811751,2.0
255,2.0,9.0,0.0,0.88811751,2.0
