,0
0,165.0
1,165.0
2,112.0
3,112.0
4,76.0
5,165.0
6,146.0
7,165.0
8,163.0
9,165.0
10,76.0
11,76.0
12,147.0
13,76.0
14,117.0
15,76.0
16,76.0
17,165.0
18,165.0
19,76.0
20,76.0
21,76.0
22,76.0
23,165.0
24,76.0
25,76.0
26,165.0
27,112.0
28,165.0
29,76.0
30,35.0
31,63.0
32,18.0
33,103.0
34,62.0
35,56.0
36,38.0
37,40.0
38,42.0
39,40.0
40,46.0
41,61.0
42,31.0
43,16.0
44,55.0
45,68.0
46,37.0
47,10.0
48,1.0
49,45.0
50,26.0
51,70.0
52,44.0
53,48.0
54,27.0
55,48.0
56,0.0
57,15.0
58,76.0
59,76.0
60,33.0
61,44.0
62,4.0
63,34.0
64,21.0
65,0.0
66,3.0
67,76.0
68,48.0
69,13.0
70,12.0
71,48.0
72,0.0
73,42.0
74,0.0
75,25.0
76,11.0
77,12.0
78,76.0
79,20.0
80,66.0
81,53.0
82,19.0
83,74.0
84,22.0
85,112.0
86,29.0
87,69.0
88,76.0
89,61.0
90,112.0
91,64.0
92,76.0
93,76.0
94,76.0
95,83.0
96,57.0
97,165.0
98,165.0
99,48.0
100,99.0
101,117.0
102,72.0
103,111.0
104,76.0
105,165.0
106,53.0
107,165.0
108,76.0
109,144.0
110,36.0
111,43.0
112,76.0
113,76.0
114,112.0
115,76.0
116,66.0
117,48.0
118,71.0
119,76.0
120,165.0
121,76.0
122,54.0
123,165.0
124,76.0
125,76.0
126,76.0
127,76.0
128,76.0
129,165.0
130,76.0
131,48.0
132,76.0
133,76.0
134,117.0
135,6.0
136,76.0
137,76.0
138,48.0
139,16.0
140,0.0
141,2.0
142,50.0
143,69.0
144,29.0
145,24.0
146,3.0
147,76.0
148,76.0
149,86.0
150,60.0
151,76.0
152,51.0
153,76.0
154,80.0
155,76.0
156,65.0
157,18.0
158,155.0
159,117.0
160,92.0
161,99.0
162,165.0
163,143.0
164,133.0
165,76.0
166,76.0
167,76.0
168,76.0
169,76.0
170,76.0
171,96.0
172,112.0
173,112.0
174,112.0
175,68.0
176,99.0
177,165.0
178,165.0
179,117.0
180,117.0
181,165.0
182,154.0
183,165.0
184,76.0
185,165.0
186,117.0
187,98.0
188,112.0
189,165.0
190,165.0
191,112.0
192,95.0
193,28.0
194,76.0
195,76.0
196,132.0
197,165.0
198,146.0
199,165.0
200,102.0
201,117.0
202,112.0
203,165.0
204,112.0
205,154.0
206,165.0
207,163.0
208,165.0
209,132.0
210,165.0
211,162.0
212,130.0
213,165.0
214,165.0
215,161.0
216,76.0
217,112.0
218,112.0
219,76.0
220,76.0
221,73.0
222,58.0
223,117.0
224,117.0
225,117.0
226,165.0
227,165.0
228,76.0
229,165.0
230,76.0
231,119.0
232,165.0
233,76.0
234,95.0
235,76.0
236,76.0
237,165.0
238,76.0
239,165.0
240,112.0
241,165.0
242,165.0
243,117.0
244,117.0
245,76.0
246,65.0
247,165.0
248,76.0
249,117.0
