,0
532,76.0
533,44.0
534,88.0
535,48.0
536,68.0
537,20.0
538,59.0
539,35.0
540,48.0
541,43.0
542,76.0
543,30.0
544,76.0
545,62.0
546,47.0
547,65.0
548,68.0
549,62.0
550,98.0
551,116.0
552,71.0
553,62.0
554,26.0
555,76.0
556,76.0
557,78.0
558,21.0
559,63.0
560,44.0
561,24.0
562,158.0
563,48.0
564,47.0
565,76.0
566,165.0
567,67.0
568,76.0
569,68.0
570,76.0
571,55.0
572,50.0
573,38.0
574,48.0
575,22.0
576,79.0
577,68.0
578,108.0
579,67.0
580,33.0
581,45.0
582,0.0
583,1.0
584,150.0
585,23.0
586,48.0
587,24.0
588,24.0
589,31.0
590,64.0
591,43.0
592,76.0
593,76.0
594,40.0
595,44.0
596,48.0
597,41.0
598,41.0
599,59.0
600,116.0
601,45.0
602,112.0
603,42.0
604,72.0
605,72.0
606,30.0
607,112.0
608,68.0
609,46.0
610,76.0
611,48.0
612,117.0
613,24.0
614,98.0
615,86.0
616,37.0
617,71.0
618,76.0
619,58.0
620,69.0
621,27.0
622,76.0
623,73.0
624,85.0
625,53.0
626,57.0
627,68.0
628,99.0
629,39.0
630,112.0
631,53.0
632,38.0
633,79.0
634,64.0
635,67.0
636,66.0
637,67.0
638,0.0
639,23.0
640,42.0
641,0.0
642,76.0
643,45.0
644,48.0
645,1.0
646,99.0
647,76.0
648,76.0
649,76.0
650,39.0
651,76.0
652,72.0
653,54.0
654,133.0
655,76.0
656,76.0
657,66.0
658,104.0
659,49.0
660,76.0
661,76.0
662,76.0
663,54.0
664,61.0
665,60.0
666,76.0
667,53.0
668,58.0
669,76.0
670,48.0
671,76.0
672,68.0
673,48.0
674,63.0
675,119.0
676,76.0
677,20.0
678,76.0
679,50.0
680,48.0
681,111.0
682,25.0
683,60.0
684,29.0
685,112.0
686,165.0
687,48.0
688,48.0
689,76.0
690,56.0
691,23.0
692,76.0
693,76.0
694,76.0
695,76.0
696,43.0
697,76.0
698,48.0
699,76.0
700,59.0
701,51.0
702,71.0
703,48.0
704,92.0
705,76.0
706,76.0
707,75.0
708,73.0
709,103.0
710,74.0
711,65.0
712,70.0
713,66.0
714,109.0
715,62.0
716,119.0
717,99.0
718,70.0
719,32.0
720,52.0
721,76.0
722,61.0
723,76.0
724,55.0
725,43.0
726,93.0
727,78.0
728,64.0
729,47.0
730,69.0
731,76.0
732,70.0
733,76.0
734,76.0
735,76.0
736,37.0
737,40.0
738,47.0
739,76.0
740,10.0
741,76.0
742,123.0
743,111.0
744,137.0
745,92.0
746,108.0
747,31.0
748,105.0
749,111.0
750,76.0
751,59.0
752,96.0
753,112.0
754,61.0
755,76.0
756,48.0
757,36.0
758,76.0
759,76.0
760,86.0
761,74.0
762,58.0
763,64.0
764,64.0
765,34.0
766,76.0
767,76.0
768,65.0
769,64.0
770,112.0
771,61.0
772,66.0
773,48.0
774,117.0
775,76.0
776,85.0
777,107.0
778,29.0
779,76.0
780,43.0
781,76.0
782,31.0
783,112.0
784,60.0
785,42.0
786,22.0
787,45.0
788,76.0
789,48.0
790,48.0
791,48.0
792,76.0
793,59.0
794,76.0
795,132.0
796,56.0
797,56.0
798,24.0
799,59.0
800,76.0
801,76.0
802,76.0
803,76.0
804,58.0
805,76.0
806,76.0
807,76.0
808,72.0
809,72.0
810,64.0
811,97.0
812,112.0
813,132.0
814,147.0
